surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,gt_mfpt,lr_mfpt,mfpt_err,gt_rate,lr_rate,rate_err,transition_frac,gt_transition_frac,gt_transitions,lr_transitions,W2@1.0
hyperbolic_paraboloid,T,2042,1.018759400690373e-05,0.0025092214345932007,0.0006958599551580846,0.9654895067214966,6.444605350494385,6.052173137664795,0.06089313332421282,0.44829,0.3743,0.16504940998014678,0.8136,0.9142,44829,37430,0.18340648704145615
hyperbolic_paraboloid,T+F,2042,5.6202231503244656e-05,0.005035310052335262,0.002693870570510626,1.1998075246810913,6.444605350494385,5.844588756561279,0.0931036985665967,0.44829,0.47329,0.05576747194896153,0.9248,0.9142,44829,47329,0.14385186425792043
hyperbolic_paraboloid,baseline,3042,4.586622823233628e-05,0.058355771005153656,0.01955118030309677,1.1282806396484375,6.505290985107422,6.10294246673584,0.06184942676548665,0.45072,0.43505,0.03476659566915162,0.917,0.9144,45072,43505,0.13540627082632634
hyperbolic_paraboloid,T,3042,3.685474868363409e-05,0.0032282168976962566,0.0007644385332241654,1.0648597478866577,6.505290985107422,5.392479419708252,0.17106253478080105,0.45072,0.56849,0.26129304224352157,0.9698,0.9144,45072,56849,0.11770574149369974
hyperbolic_paraboloid,T+F,3042,1.858329557957341e-05,0.002526434836909175,0.000947871245443821,1.2170684337615967,6.505290985107422,6.519858360290527,0.0022393118488403664,0.45072,0.41315,0.083355520056798,0.8994,0.9144,45072,41315,0.10518105643670157
hyperbolic_paraboloid,baseline,4042,3.467155018107808e-05,0.033959634602069855,0.018727898597717285,1.1203805208206177,6.493514537811279,6.899649620056152,0.0625447251838703,0.44166,0.39733,0.10037132635964312,0.868,0.91,44166,39733,0.12006835689288711
hyperbolic_paraboloid,T,4042,2.0997575600052355e-05,0.0027681977953761816,0.0010958309285342693,0.9724287390708923,6.493514537811279,6.2776031494140625,0.03325031262192145,0.44166,0.50147,0.1354209120137662,0.9254,0.91,44166,50147,0.11122836513388856
hyperbolic_paraboloid,T+F,4042,1.117788296915702e-05,0.0026753724087029696,0.0009138776222243905,1.163109302520752,6.493514537811279,6.37797212600708,0.017793509374839138,0.44166,0.45662,0.03387220939183994,0.9214,0.91,44166,45662,0.10254360469385351
hyperbolic_paraboloid,baseline,5042,2.3172081758578617e-05,0.04363479092717171,0.014905022457242012,1.0019359588623047,6.434466361999512,5.949945449829102,0.07530086955336032,0.44814,0.5617,0.2534029544338823,0.9506,0.913,44814,56170,0.11962854233044128
hyperbolic_paraboloid,T,5042,2.697536742676105e-06,0.001507075154222548,0.00031104779918678105,0.9791317582130432,6.434466361999512,6.101961612701416,0.05167557503475234,0.44814,0.47107,0.051167046012406854,0.932,0.913,44814,47107,0.11838429687793886
hyperbolic_paraboloid,T+F,5042,2.052528385202683e-05,0.003591479966416955,0.0017444854602217674,1.197298526763916,6.434466361999512,6.393924713134766,0.006300701034692761,0.44814,0.45489,0.015062257330298643,0.9,0.913,44814,45489,0.09692612154382835
hyperbolic_paraboloid,baseline,6042,8.917684245168867e-05,0.061306972056627274,0.019894953817129135,1.1912734508514404,6.459641456604004,6.478372097015381,0.002899640875923185,0.44909,0.44022,0.019751052127635862,0.8956,0.914,44909,44022,0.16575831226719998
hyperbolic_paraboloid,T,6042,1.0535621376179938e-05,0.0021544136106967926,0.0006153285503387451,1.003982663154602,6.459641456604004,6.400769233703613,0.009113853035945627,0.44909,0.47477,0.05718230198846565,0.9156,0.914,44909,47477,0.08557566028700189
hyperbolic_paraboloid,T+F,6042,6.482493368658557e-06,0.001510080648586154,0.0005294302827678621,1.1761786937713623,6.459641456604004,6.674330711364746,0.03323547540572162,0.44909,0.38711,0.1380124251263666,0.8848,0.914,44909,38711,0.08813584010771632
hyperbolic_paraboloid,baseline,7042,4.808915158112844e-05,0.13694097101688385,0.037666480988264084,1.0635931491851807,6.526175022125244,7.321794033050537,0.12191199412028644,0.44842,0.34176,0.23785736586236114,0.8496,0.9166,44842,34176,0.16512996085408604
hyperbolic_paraboloid,T,7042,1.9433979982908687e-05,0.0026387693360447884,0.001118925865739584,1.0083575248718262,6.526175022125244,6.222652912139893,0.046508423227440476,0.44842,0.51412,0.14651442843762552,0.9098,0.9166,44842,51412,0.0731992812150049
hyperbolic_paraboloid,T+F,7042,5.877867285440217e-05,0.0058761583641171455,0.0033899564296007156,1.1815085411071777,6.526175022125244,5.4646430015563965,0.16265760831880977,0.44842,0.56175,0.2527318139244458,0.9486,0.9166,44842,56175,0.1551176263961019
hyperbolic_paraboloid,baseline,8042,2.4311346423566636e-05,0.03955794498324394,0.026589028537273407,1.095186471939087,6.486164569854736,6.6564483642578125,0.02625338789498057,0.45678,0.39369,0.13811900696177598,0.8914,0.9136,45678,39369,0.1346971083574933
hyperbolic_paraboloid,T,8042,8.447718486857059e-05,0.016914252191781998,0.006531791761517525,0.9621215462684631,6.486164569854736,6.825388431549072,0.05229960757871013,0.45678,0.4442,0.02754061035947291,0.8982,0.9136,45678,44420,0.1201377380159167
hyperbolic_paraboloid,T+F,8042,3.782098427118353e-05,0.0053487503901124,0.0024330851156264544,1.2057820558547974,6.486164569854736,6.640305995941162,0.023764649266350316,0.45678,0.4384,0.04023818906256843,0.9034,0.9136,45678,43840,0.11565505235201877
hyperbolic_paraboloid,baseline,9042,2.9466240041291537e-05,0.0540366992354393,0.03578785061836243,1.1779292821884155,6.365067005157471,7.45203161239624,0.17077033224599625,0.44933,0.31115,0.30752453653217016,0.7904,0.9102,44933,31115,0.1464570972323539
hyperbolic_paraboloid,T,9042,6.561944567000688e-05,0.006002834998071194,0.0016300291754305363,1.0361584424972534,6.365067005157471,7.196823596954346,0.13067522951807442,0.44933,0.34736,0.226937885295885,0.777,0.9102,44933,34736,0.19167971946664739
hyperbolic_paraboloid,T+F,9042,1.4868965696784394e-05,0.00590277835726738,0.001706601120531559,1.1478173732757568,6.365067005157471,6.280514240264893,0.013283876638543933,0.44933,0.44828,0.002336812587630462,0.9214,0.9102,44933,44828,0.07766634386190638
quartic_dome,baseline,42,1.71206743266452e-05,0.05600649490952492,0.025398284196853638,1.1966599225997925,7.2114763259887695,7.008265018463135,0.02817887743641346,0.40401,0.40502,0.002499938120343583,0.8774,0.8658,40401,40502,0.10013439898243431
quartic_dome,T,42,0.001105732659795391,0.012986764311790466,0.002975000534206629,0.8883545994758606,7.2114763259887695,6.1309685707092285,0.14983169970143276,0.40401,0.25835,0.36053563030618047,0.6048,0.8658,40401,25835,0.5712054085282942
quartic_dome,T+F,42,8.290611318687895e-05,0.019085194915533066,0.0038433619774878025,1.2362233400344849,7.2114763259887695,5.647648811340332,0.21685261712816067,0.40401,0.53482,0.32377911437835694,0.9342,0.8658,40401,53482,0.1860851435108464
quartic_dome,baseline,1042,1.9532667741698413e-05,0.052465036511421204,0.018746819347143173,1.1470634937286377,7.1533637046813965,7.201382160186768,0.006712709920501629,0.39627,0.38287,0.03381532793297505,0.8596,0.8586,39627,38287,0.10976986534100643
quartic_dome,T,1042,0.0004258293343420645,0.011660469695925713,0.002802118193358183,0.9541304707527161,7.1533637046813965,9.133468627929688,0.27680752789802165,0.39627,0.18564,0.5315315315315315,0.5322,0.8586,39627,18564,0.36180756360572874
quartic_dome,T+F,1042,7.077221716962643e-05,0.006012965925037861,0.0015942242462188005,1.1589096784591675,7.1533637046813965,7.1392364501953125,0.0019749106950676426,0.39627,0.41728,0.05301940596058236,0.8692,0.8586,39627,41728,0.14042368818474787
quartic_dome,baseline,2042,1.4214879550521647e-05,0.04115142300724983,0.0144041758030653,1.1559550762176514,7.100148677825928,7.02415657043457,0.010702889592817129,0.40058,0.39665,0.009810774377153102,0.8656,0.861,40058,39665,0.11184330741749984
quartic_dome,T,2042,0.0002677864325580312,0.007613644935190678,0.0016506095416843891,0.9002970457077026,7.100148677825928,6.637724876403809,0.06512874904525433,0.40058,0.30087,0.24891407459184176,0.7366,0.861,40058,30087,0.2838918509477077
quartic_dome,T+F,2042,9.897883184513642e-05,0.011820782907307148,0.0025360011495649815,1.2055540084838867,7.100148677825928,5.956181526184082,0.1611187601204049,0.40058,0.49663,0.23977732288182144,0.9402,0.861,40058,49663,0.1798030754910477
quartic_dome,baseline,3042,2.8550553029004613e-05,0.059078022837638855,0.017853230237960815,1.1566563844680786,7.114989280700684,7.427003383636475,0.043853067183407465,0.40338,0.31159,0.22755218404482136,0.8016,0.8664,40338,31159,0.12446314841386273
quartic_dome,T,3042,1.541405698442044e-05,0.004250703379511833,0.0005903440760448575,0.8987546563148499,7.114989280700684,6.020581245422363,0.1538172430205746,0.40338,0.46396,0.15018097079676723,0.908,0.8664,40338,46396,0.14737132865111938
quartic_dome,T+F,3042,3.883365393426288e-05,0.005636494606733322,0.0014612555969506502,1.1660140752792358,7.114989280700684,6.628835201263428,0.06832815345989944,0.40338,0.39764,0.014229758540334233,0.8638,0.8664,40338,39764,0.13921592212891806
quartic_dome,baseline,4042,2.4054041920016653e-05,0.05271778628230095,0.026533953845500946,1.1916831731796265,7.136796951293945,7.696566581726074,0.0784342940190612,0.39243,0.29551,0.24697398262110443,0.769,0.8598,39243,29551,0.12060163340782977
quartic_dome,T,4042,1.4717155483676427e-05,0.005762541200965643,0.0006515030981972814,0.8742460012435913,7.136796951293945,7.036041259765625,0.014117774712653509,0.39243,0.42824,0.09125194302168542,0.876,0.8598,39243,42824,0.08825926663967784
quartic_dome,T+F,4042,8.782195807689458e-05,0.014758136123418808,0.0033530564978718758,1.0967227220535278,7.136796951293945,7.181415557861328,0.006251909206873706,0.39243,0.33619,0.1433121830644956,0.838,0.8598,39243,33619,0.16762102181808067
quartic_dome,baseline,5042,2.3285654461502436e-05,0.03965193033218384,0.013638654723763466,1.203553557395935,7.065075397491455,6.779964447021484,0.040354976334888513,0.4006,0.44284,0.1054418372441338,0.8986,0.8622,40060,44284,0.11562292767291471
quartic_dome,T,5042,0.00027590122685503606,0.009622462093830109,0.0020599602721631527,0.9022774696350098,7.065075397491455,7.512827396392822,0.06337540276786674,0.4006,0.37065,0.07476285571642544,0.7802,0.8622,40060,37065,0.28804102929735126
quartic_dome,T+F,5042,0.0004316246998843862,0.010649424977600574,0.002198262605816126,1.1360775232315063,7.065075397491455,5.818217754364014,0.1764818594250465,0.4006,0.50575,0.26248127808287575,0.9346,0.8622,40060,50575,0.3055231410625582
quartic_dome,baseline,6042,9.097297912213339e-06,0.050647296011447906,0.02485346980392933,1.2221814393997192,7.11918830871582,7.406623363494873,0.04037469474253886,0.40165,0.36788,0.08407817751773938,0.8256,0.8646,40165,36788,0.12340036002482188
quartic_dome,T,6042,0.00013014407300237398,0.009942300617694855,0.0016548916464671493,0.967657744884491,7.11918830871582,7.218712329864502,0.013979686564385044,0.40165,0.33446,0.16728494958297033,0.7474,0.8646,40165,33446,0.18992321865998343
quartic_dome,T+F,6042,7.75151269797662e-05,0.010547885671257973,0.0026396294124424458,1.168896198272705,7.11918830871582,6.200843334197998,0.12899574146585202,0.40165,0.45752,0.13910120751898414,0.8988,0.8646,40165,45752,0.16188747961771585
quartic_dome,baseline,7042,1.985637878823043e-05,0.04806151241064072,0.01816747896373272,1.2052068710327148,7.161067008972168,7.703522205352783,0.07575061030723047,0.40032,0.34518,0.13773980815347728,0.7752,0.8654,40032,34518,0.14805131298650198
quartic_dome,T,7042,0.00015787997130137772,0.016382863745093346,0.003018101444467902,0.843113124370575,7.161067008972168,5.987176895141602,0.163926704269041,0.40032,0.51581,0.28849420463629094,0.856,0.8654,40032,51581,0.26461405499635887
quartic_dome,T+F,7042,0.00016543385920239918,0.00839010439813137,0.003380898851901293,1.1583298444747925,7.161067008972168,7.161099910736084,4.594533730070211e-06,0.40032,0.38145,0.0471372901678657,0.7706,0.8654,40032,38145,0.20523963773359793
quartic_dome,baseline,8042,3.7541765886456217e-05,0.0627899095416069,0.03797309845685959,1.216145396232605,7.073335647583008,7.083216667175293,0.0013969391648566186,0.40524,0.39911,0.01512683841674062,0.873,0.8522,40524,39911,0.13777104123927283
