config,seed,reconstruction,tangent,curvature,E_mu,E_Sigma,sigma_min_min,sigma_min_p5,sigma_min_median
T+F+K,3042,0.0003182979,0.0023101645,0.0053110044,0.00391786452382803,0.0011491787154227495,1.4249765872955322,1.4402401447296143,1.5409886837005615
baseline,4042,0.009831892,0.050311867,0.058962177,0.056911006569862366,0.02896222099661827,1.0523173809051514,1.0862927436828613,1.1941046714782715
T,4042,0.015695382,0.0039299163,0.0071765603,0.008019637316465378,0.0026871776208281517,1.0308367013931274,1.0546085834503174,1.1713906526565552
K,4042,0.0064231413,0.022549512,0.016079392,0.013953039422631264,0.013949492014944553,1.0509698390960693,1.0956774950027466,1.198999047279358
F,4042,0.118393704,0.62764245,0.26671776,0.8324888348579407,0.8248755931854248,1.6695610284805298,1.6892648935317993,1.7530981302261353
C,4042,0.12630194,0.66871643,0.2847425,0.8822996020317078,0.8913347721099854,4.2483229637146,4.312554359436035,4.5276336669921875
T+K,4042,0.014996461,0.0034937954,0.007959817,0.008239947259426117,0.002539802575483918,1.044252872467041,1.0722732543945312,1.172973394393921
T+F,4042,0.0007097374,0.0031358758,0.006867933,0.007177659310400486,0.002183447824791074,1.3533964157104492,1.369398832321167,1.5233733654022217
F+K,4042,0.18169892,0.5747061,0.22083053,0.3176475763320923,0.3052237629890442,1.350602626800537,1.3873103857040405,1.6919902563095093
T+F+K,4042,0.009032232,0.008466713,0.008125,0.009874634444713593,0.00610903138294816,1.3547195196151733,1.3641815185546875,1.5116581916809082
baseline,5042,0.0063169394,0.044251837,0.050006308,0.04562211409211159,0.028365321457386017,1.1301535367965698,1.167223334312439,1.2695728540420532
T,5042,0.010463041,0.0023804957,0.0064273914,0.004035416524857283,0.0009495384292677045,0.9377994537353516,0.9507054686546326,1.0961649417877197
K,5042,0.0049398793,0.016307367,0.015227835,0.009492956101894379,0.007418184541165829,1.1218557357788086,1.1658118963241577,1.2656058073043823
F,5042,0.14335175,0.68135566,0.28652257,0.9496856331825256,0.9313369989395142,1.8223967552185059,1.8381255865097046,1.8820196390151978
C,5042,0.14533372,0.68633324,0.28706503,0.9759025573730469,0.9312930703163147,3.7916762828826904,3.930974245071411,4.236252307891846
T+K,5042,0.007983727,0.0022296032,0.005494572,0.0025768063496798277,0.0010622969130054116,0.9578898549079895,0.9708240032196045,1.1167210340499878
T+F,5042,0.0012571887,0.0024743383,0.0057865484,0.004394006449729204,0.001422584755346179,1.2315044403076172,1.2575236558914185,1.4023170471191406
F+K,5042,0.17444302,0.5611012,0.22412182,0.2916807532310486,0.26558753848075867,1.283209204673767,1.2948482036590576,1.5510509014129639
T+F+K,5042,0.00037006367,0.0018050402,0.005450088,0.0034035921562463045,0.0009458793792873621,1.2234618663787842,1.2495697736740112,1.4003866910934448
