time,ensemble_survival,MTE,RPD,surface,config,seed,sim_mode,W2,MMD,drift_coeff_error,cov_coeff_error
1.0,0.7649999856948853,0.6888688530018127,0.24702035992242055,half_torus,baseline,1042,learned_latent,0.8709912718498611,0.10226432979106903,,
2.0,0.4949999749660492,,,half_torus,baseline,1042,learned_latent,0.8925014395707999,0.11273165792226791,,
3.0,0.3799999952316284,,,half_torus,baseline,1042,learned_latent,0.8687057092751932,0.09780506044626236,,
4.0,0.2199999988079071,,,half_torus,baseline,1042,learned_latent,0.9129502569784604,0.11779273301362991,,
5.0,0.13499999046325684,,,half_torus,baseline,1042,learned_latent,0.7187640976559859,0.0815875455737114,,
0.1,0.8100000023841858,2.923018467279128,1.6156902064822232,half_torus,baseline,1042,end_to_end,,,24.199644088745117,384.25848388671875
0.2,0.5899999737739563,3.1366041797702597,1.4014185024183028,half_torus,baseline,1042,end_to_end,,,35.25468826293945,452.43939208984375
0.5,0.26999998092651367,3.588486848054109,1.3251949670120817,half_torus,baseline,1042,end_to_end,,,33.551082611083984,406.55908203125
1.0,0.07000000029802322,3.5511373792375838,1.2733965684915658,half_torus,baseline,1042,end_to_end,2.2548017451867874,0.3008868396282196,128.31399536132812,1173.4146728515625
2.0,0.0,,,half_torus,baseline,1042,end_to_end,,,,
3.0,0.0,,,half_torus,baseline,1042,end_to_end,,,,
4.0,0.0,,,half_torus,baseline,1042,end_to_end,,,,
5.0,0.0,,,half_torus,baseline,1042,end_to_end,,,,
0.1,0.9950000047683716,0.5247506759873587,0.2900544548481429,half_torus,T+F,1042,learned_latent,,,,
0.2,0.9899999499320984,0.5591236075969658,0.24981353206085785,half_torus,T+F,1042,learned_latent,,,,
0.5,0.9049999713897705,0.6157801506927659,0.2274019081124664,half_torus,T+F,1042,learned_latent,,,,
1.0,0.7649999856948853,0.6482498069214665,0.23245484235147865,half_torus,T+F,1042,learned_latent,0.8386991931530772,0.09860138595104218,,
2.0,0.4949999749660492,,,half_torus,T+F,1042,learned_latent,0.8492623554434106,0.10522206127643585,,
3.0,0.3799999952316284,,,half_torus,T+F,1042,learned_latent,0.8734342514493435,0.10518636554479599,,
4.0,0.2199999988079071,,,half_torus,T+F,1042,learned_latent,0.911060986461083,0.11670739203691483,,
5.0,0.13499999046325684,,,half_torus,T+F,1042,learned_latent,0.6184228336833376,0.08170872926712036,,
0.1,0.875,2.848656005859375,1.5745865658481475,half_torus,T+F,1042,end_to_end,,,145.4265899658203,1349.23583984375
0.2,0.6800000071525574,3.2701353185317097,1.4610795236323306,half_torus,T+F,1042,end_to_end,,,145.9129638671875,1052.295654296875
0.5,0.25999999046325684,3.322954618013822,1.2271363730340394,half_torus,T+F,1042,end_to_end,,,195.4346923828125,1557.386474609375
1.0,0.07499999552965164,3.399505106608073,1.2190229988381012,half_torus,T+F,1042,end_to_end,2.064335599040873,0.2322315126657486,54.20083999633789,175.4241943359375
2.0,0.019999999552965164,,,half_torus,T+F,1042,end_to_end,2.0697888133850544,0.3468761444091797,,
3.0,0.0,,,half_torus,T+F,1042,end_to_end,,,,
