time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,W2,MMD
1.0,0.4699999988079071,1.222692367878366,0.638700386093715,paraboloid,T+F+Kf,end_to_end,1.046046004768341,0.1467108428478241
2.0,0.1550000011920929,,,paraboloid,T+F+Kf,end_to_end,2.2709228852173884,0.22384114563465118
3.0,0.04999999701976776,,,paraboloid,T+F+Kf,end_to_end,2.731247415673476,0.28419625759124756
4.0,0.019999999552965164,,,paraboloid,T+F+Kf,end_to_end,1.6969493139073033,0.19476547837257385
5.0,0.014999999664723873,,,paraboloid,T+F+Kf,end_to_end,2.0560809231513186,0.4114380180835724
0.1,1.0,0.15882450103759765,0.20204857695667483,paraboloid,T+F+D,learned_latent,,
0.2,0.9799999594688416,0.33675030299595426,0.29629405481407256,paraboloid,T+F+D,learned_latent,,
0.5,0.9149999618530273,0.3372672659451844,0.2272634347004709,paraboloid,T+F+D,learned_latent,,
1.0,0.8050000071525574,0.532113306270623,0.27796114794629984,paraboloid,T+F+D,learned_latent,1.3137233151879215,0.12275200337171555
2.0,0.5249999761581421,,,paraboloid,T+F+D,learned_latent,2.2865091214416124,0.1662466824054718
3.0,0.32999998331069946,,,paraboloid,T+F+D,learned_latent,2.1999134485806264,0.18616007268428802
4.0,0.22499999403953552,,,paraboloid,T+F+D,learned_latent,1.5943370334793292,0.08612871915102005
5.0,0.1599999964237213,,,paraboloid,T+F+D,learned_latent,1.0559012198355073,0.11959701031446457
0.1,0.9799999594688416,0.47307890288683835,0.6018272904498744,paraboloid,T+F+D,end_to_end,,
0.2,0.9049999713897705,0.6829914071941903,0.6009387122753894,paraboloid,T+F+D,end_to_end,,
0.5,0.7049999833106995,0.8166196566101507,0.5502691981833341,paraboloid,T+F+D,end_to_end,,
1.0,0.47999998927116394,1.2000214258829753,0.6268577183990682,paraboloid,T+F+D,end_to_end,1.0946448956157182,0.1385876089334488
2.0,0.17499999701976776,,,paraboloid,T+F+D,end_to_end,2.4612986339683554,0.2501077353954315
3.0,0.054999999701976776,,,paraboloid,T+F+D,end_to_end,2.5185013337637896,0.23868238925933838
4.0,0.014999999664723873,,,paraboloid,T+F+D,end_to_end,1.9571022406177017,0.22379614412784576
5.0,0.0,,,paraboloid,T+F+D,end_to_end,2.0727110974010254,0.33444076776504517
0.1,1.0,0.18500572204589844,0.24713362080825702,hyperbolic_paraboloid,baseline,learned_latent,,
0.2,0.9799999594688416,0.30475596992336973,0.2931848809535222,hyperbolic_paraboloid,baseline,learned_latent,,
0.5,0.9149999618530273,0.37863922119140625,0.26656874404865877,hyperbolic_paraboloid,baseline,learned_latent,,
1.0,0.8050000071525574,0.6118707597625922,0.3285241671439698,hyperbolic_paraboloid,baseline,learned_latent,1.3503385288119287,0.14504089951515198
2.0,0.5249999761581421,,,hyperbolic_paraboloid,baseline,learned_latent,1.3090730259221852,0.1782453954219818
3.0,0.32999998331069946,,,hyperbolic_paraboloid,baseline,learned_latent,1.1761239945743651,0.1866556853055954
4.0,0.22499999403953552,,,hyperbolic_paraboloid,baseline,learned_latent,1.3746978385314246,0.12484206259250641
5.0,0.1599999964237213,,,hyperbolic_paraboloid,baseline,learned_latent,0.7942136021852527,0.14097213745117188
0.1,0.9799999594688416,0.4177749010981346,0.5580704361434773,hyperbolic_paraboloid,baseline,end_to_end,,
0.2,0.8999999761581421,0.5590666029188368,0.5378397524519832,hyperbolic_paraboloid,baseline,end_to_end,,
0.5,0.6899999976158142,0.790538621985394,0.5565532459144694,hyperbolic_paraboloid,baseline,end_to_end,,
1.0,0.41499999165534973,1.0176279458654933,0.5463823332685572,hyperbolic_paraboloid,baseline,end_to_end,1.2339866355622096,0.15438686311244965
2.0,0.10999999940395355,,,hyperbolic_paraboloid,baseline,end_to_end,1.5277736414437755,0.24321871995925903
3.0,0.019999999552965164,,,hyperbolic_paraboloid,baseline,end_to_end,1.7316501390950583,0.23735743761062622
4.0,0.004999999888241291,,,hyperbolic_paraboloid,baseline,end_to_end,,
5.0,0.0,,,hyperbolic_paraboloid,baseline,end_to_end,,
0.1,1.0,0.19340991973876953,0.2583600833352504,hyperbolic_paraboloid,T,learned_latent,,
0.2,0.9799999594688416,0.304202955596301,0.29265286368184085,hyperbolic_paraboloid,T,learned_latent,,
0.5,0.9149999618530273,0.3809912426224172,0.26822460895580524,hyperbolic_paraboloid,T,learned_latent,,
1.0,0.8050000071525574,0.6025561694032657,0.3235229998365595,hyperbolic_paraboloid,T,learned_latent,1.3515695601964586,0.14837083220481873
