surface,config,seed,distance,reconstruction,tangent,curvature
half_torus,T,3042,0.5,2.0003092,0.61366355,12.944589
half_torus,K,3042,0.0,0.27665624,0.50500005,0.24327256
half_torus,K,3042,0.1,0.54309696,0.7630611,0.21076956
half_torus,K,3042,0.2,0.7911276,0.751469,0.21882533
half_torus,K,3042,0.3,1.0069226,0.70215875,0.23569213
half_torus,K,3042,0.4,1.2559184,0.6584209,0.23381904
half_torus,K,3042,0.5,1.6283484,0.6213582,0.22859322
half_torus,T+K,3042,0.0,0.64730644,0.31304127,0.6940652
half_torus,T+K,3042,0.1,0.7810152,0.42355093,0.48857272
half_torus,T+K,3042,0.2,1.192857,0.53661513,0.6751586
half_torus,T+K,3042,0.3,1.3265599,0.5812352,1.3299627
half_torus,T+K,3042,0.4,1.5679512,0.5719214,1.7007005
half_torus,T+K,3042,0.5,2.0081592,0.5801507,0.9013133
half_torus,T+F,3042,0.0,0.22909935,0.40911812,0.26429826
half_torus,T+F,3042,0.1,0.43019712,0.6459524,0.2572651
half_torus,T+F,3042,0.2,0.6108778,0.67796767,0.3965751
half_torus,T+F,3042,0.3,0.7431911,0.67248046,0.2669654
half_torus,T+F,3042,0.4,1.0832896,0.6558556,0.2230218
half_torus,T+F,3042,0.5,1.4858918,0.63536936,0.21394588
half_torus,T+F+K,3042,0.0,0.17728812,0.42657506,0.232398
half_torus,T+F+K,3042,0.1,0.4073376,0.67670935,0.20321469
half_torus,T+F+K,3042,0.2,0.557429,0.6893056,0.30364355
half_torus,T+F+K,3042,0.3,0.68723935,0.66648567,0.2671076
half_torus,T+F+K,3042,0.4,0.93795776,0.6552169,0.21740545
half_torus,T+F+K,3042,0.5,1.2988583,0.6472041,0.20638932
half_torus,baseline,4042,0.0,0.34790504,0.50865835,0.21612957
half_torus,baseline,4042,0.1,1.0599484,0.7479136,0.2207676
half_torus,baseline,4042,0.2,1.2243357,0.7428594,0.24246092
half_torus,baseline,4042,0.3,1.2642328,0.70304847,0.24120757
half_torus,baseline,4042,0.4,1.3607649,0.69472826,0.23559667
half_torus,baseline,4042,0.5,1.7306887,0.58316004,0.22682925
half_torus,T,4042,0.0,0.66046035,0.27289957,0.3395523
half_torus,T,4042,0.1,1.9649256,0.5631689,0.48695946
half_torus,T,4042,0.2,1.9064498,0.52124405,0.5036043
half_torus,T,4042,0.3,1.8142525,0.46703848,0.57849604
half_torus,T,4042,0.4,1.8177048,0.5106525,0.46534997
half_torus,T,4042,0.5,2.1513352,0.52662593,0.29977912
half_torus,K,4042,0.0,0.30927283,0.5139155,0.22095995
half_torus,K,4042,0.1,0.9823968,0.75114167,0.21712542
half_torus,K,4042,0.2,1.1469818,0.7470696,0.23861872
half_torus,K,4042,0.3,1.1954026,0.70772916,0.23776777
half_torus,K,4042,0.4,1.3184513,0.69570476,0.23285577
half_torus,K,4042,0.5,1.6865348,0.5850876,0.22556378
half_torus,T+K,4042,0.0,0.594656,0.28958282,0.51542443
half_torus,T+K,4042,0.1,1.5011219,0.5786881,1.3174014
half_torus,T+K,4042,0.2,1.9683311,0.5780241,1.0243577
half_torus,T+K,4042,0.3,1.988453,0.48804232,0.31540143
half_torus,T+K,4042,0.4,2.0132236,0.47777995,0.3385733
half_torus,T+K,4042,0.5,2.3570032,0.47724018,0.55532026
half_torus,T+F,4042,0.0,0.26507068,0.37956607,0.18911316
half_torus,T+F,4042,0.1,0.78789824,0.677938,0.20592822
half_torus,T+F,4042,0.2,1.1386563,0.7131869,0.23387718
half_torus,T+F,4042,0.3,1.2001507,0.71560764,0.2608213
half_torus,T+F,4042,0.4,1.2621365,0.71986383,0.25726026
half_torus,T+F,4042,0.5,1.7697955,0.61251265,0.21299505
half_torus,T+F+K,4042,0.0,0.25964916,0.37492976,0.19089776
half_torus,T+F+K,4042,0.1,0.77452374,0.67264134,0.20378648
half_torus,T+F+K,4042,0.2,1.1119051,0.7106249,0.23289067
half_torus,T+F+K,4042,0.3,1.17931,0.7158657,0.26246998
half_torus,T+F+K,4042,0.4,1.2473978,0.7218965,0.26224935
half_torus,T+F+K,4042,0.5,1.7543212,0.61515856,0.21722604
half_torus,baseline,5042,0.0,0.5877913,0.4462695,0.23869817
half_torus,baseline,5042,0.1,0.8214754,0.6803117,0.21151482
half_torus,baseline,5042,0.2,1.1824285,0.664288,0.19124511
half_torus,baseline,5042,0.3,1.4488786,0.6045519,0.21135157
half_torus,baseline,5042,0.4,2.0396352,0.5347443,0.23666587
half_torus,baseline,5042,0.5,2.2859058,0.53550494,0.21350266
half_torus,T,5042,0.0,1.3639963,0.34334192,0.24728906
half_torus,T,5042,0.1,1.0181954,0.3755024,0.18852127
half_torus,T,5042,0.2,1.3521506,0.49081233,0.21904005
