surface,config,seed,reconstruction,tangent,curvature,sigma_min_min,sigma_min_p5,sigma_min_median
paraboloid,baseline,2042,0.04162493,0.06525201,38.825897,0.5481860637664795,0.8064118027687073,1.0525346994400024
paraboloid,T,2042,0.026332477,0.0033220013,0.051237013,0.8472533226013184,0.8806459307670593,1.0495494604110718
paraboloid,K,2042,0.14161347,0.2611037,1.2928793,0.8941446542739868,0.9584555625915527,1.1645076274871826
paraboloid,F,2042,0.17836134,0.6054645,2.3502793,1.6686105728149414,1.6745129823684692,1.7442108392715454
paraboloid,C,2042,0.2458479,0.65606827,2.7394874,3.982851505279541,3.98909854888916,4.080221176147461
paraboloid,T+K,2042,0.022805512,0.0032499987,0.034672823,0.8499270081520081,0.8862566351890564,1.0527586936950684
paraboloid,T+F,2042,0.009813717,0.007234163,0.1993242,1.1425970792770386,1.2099148035049438,1.3535888195037842
paraboloid,F+K,2042,0.35418648,0.6692385,2.7155612,1.8728307485580444,1.8775687217712402,1.9139448404312134
paraboloid,T+F+K,2042,0.008912789,0.002695101,0.046286292,1.024072289466858,1.1187471151351929,1.3552708625793457
paraboloid,baseline,3042,0.102241926,0.04557856,2.1255074,0.6208789944648743,0.771640419960022,1.0962622165679932
paraboloid,T,3042,0.030016126,0.00857226,0.17646343,0.8494727611541748,0.95556640625,1.1556141376495361
paraboloid,K,3042,0.042924974,0.02700071,0.24226616,0.7913519740104675,0.8230780959129333,1.0634357929229736
paraboloid,F,3042,0.18213265,0.6264537,2.6724327,1.9473618268966675,1.9558402299880981,1.9700300693511963
paraboloid,C,3042,0.20613107,0.63995457,2.7295425,5.244569778442383,5.258123874664307,5.35455322265625
paraboloid,T+K,3042,0.02522571,0.0072273863,0.101220004,0.9024693965911865,0.9516453146934509,1.143155813217163
paraboloid,T+F,3042,0.012469124,0.005351861,0.14604059,1.125771164894104,1.1632784605026245,1.303194284439087
paraboloid,F+K,3042,0.3487003,0.66068983,2.8286138,1.9403632879257202,1.967833399772644,2.002725124359131
paraboloid,T+F+K,3042,0.013962068,0.0052926173,0.046324622,1.0996572971343994,1.1661196947097778,1.273723840713501
paraboloid,baseline,4042,0.04840146,0.095330544,0.78627896,0.8711153864860535,0.9114851355552673,1.1045098304748535
paraboloid,T,4042,0.043574527,0.009636767,0.15502535,0.7104411125183105,0.859136164188385,1.0234827995300293
paraboloid,K,4042,0.069942884,0.042717345,0.59252524,0.8305401802062988,0.9188514947891235,1.070811152458191
paraboloid,F,4042,0.20312683,0.6292527,2.6614287,1.7231518030166626,1.7376900911331177,1.7650277614593506
paraboloid,C,4042,0.21588732,0.6513562,2.7649164,5.003802299499512,5.013141632080078,5.088593482971191
paraboloid,T+K,4042,0.040286664,0.007860248,0.08791047,0.8107285499572754,0.8801520466804504,1.0376062393188477
paraboloid,T+F,4042,0.025679799,0.011540627,0.17481445,1.1067169904708862,1.1556133031845093,1.3355796337127686
paraboloid,F+K,4042,0.3519303,0.69329804,2.7903647,1.773176908493042,1.8149197101593018,1.8392988443374634
paraboloid,T+F+K,4042,0.025556426,0.008688053,0.15044446,1.058275818824768,1.1290777921676636,1.310312032699585
paraboloid,baseline,5042,0.33246514,0.46486053,3.1576438,0.9202345013618469,1.0437566041946411,1.1906040906906128
paraboloid,T,5042,0.25229368,0.06578061,0.9850891,0.7561874389648438,0.7718513607978821,0.9933797121047974
paraboloid,K,5042,0.42448714,0.40426722,2.1485112,0.8522555828094482,0.8624059557914734,1.126598596572876
paraboloid,F,5042,0.45054498,0.6704483,2.811003,1.800312876701355,1.8487091064453125,1.8671343326568604
paraboloid,C,5042,0.5623097,0.67177564,2.7957952,4.295216083526611,4.345306873321533,4.389976978302002
