time,ensemble_survival,MTE,RPD,surface,config,seed,sim_mode,W2,MMD,drift_coeff_error,cov_coeff_error
5.0,0.0,,,paraboloid,T+F+K,42,end_to_end,,,,
0.1,0.9950000047683716,0.5989494132037139,0.725201700294436,paraboloid,baseline,1042,learned_latent,,,,
0.2,0.9899999499320984,0.8944651285807291,0.7111414054834254,paraboloid,baseline,1042,learned_latent,,,,
0.5,0.9049999713897705,0.9784181710764848,0.6083510551958924,paraboloid,baseline,1042,learned_latent,,,,
1.0,0.7649999856948853,1.1442036348230697,0.5906377645478055,paraboloid,baseline,1042,learned_latent,1.912418599657278,0.2407328188419342,,
2.0,0.4949999749660492,,,paraboloid,baseline,1042,learned_latent,1.862794013888987,0.29704058170318604,,
3.0,0.3799999952316284,,,paraboloid,baseline,1042,learned_latent,1.9132488928004983,0.2800653576850891,,
4.0,0.2199999988079071,,,paraboloid,baseline,1042,learned_latent,1.4991252028149689,0.2702816426753998,,
5.0,0.13499999046325684,,,paraboloid,baseline,1042,learned_latent,1.3524685699132584,0.16644912958145142,,
0.1,0.949999988079071,0.9826628032483553,1.1897978694394775,paraboloid,baseline,1042,end_to_end,,,2.3569138050079346,6.585362434387207
0.2,0.8650000095367432,1.2542481174358744,0.9971856258651074,paraboloid,baseline,1042,end_to_end,,,2.4397103786468506,5.185652256011963
0.5,0.6049999594688416,1.547412084153861,0.9621343941130543,paraboloid,baseline,1042,end_to_end,,,1.9168446063995361,2.918142557144165
1.0,0.375,1.8079978434244792,0.9332882469933899,paraboloid,baseline,1042,end_to_end,1.6817145887789664,0.24013090133666992,1.883392095565796,3.436490058898926
2.0,0.14000000059604645,,,paraboloid,baseline,1042,end_to_end,1.6321138058666467,0.2508494555950165,,
3.0,0.06499999761581421,,,paraboloid,baseline,1042,end_to_end,2.0983114445450566,0.26733142137527466,,
4.0,0.029999999329447746,,,paraboloid,baseline,1042,end_to_end,1.6191849986712943,0.31365087628364563,,
5.0,0.014999999664723873,,,paraboloid,baseline,1042,end_to_end,2.17170518076026,0.46813416481018066,,
0.1,0.9950000047683716,0.4029376159361259,0.48787266127611767,paraboloid,T+F,1042,learned_latent,,,,
0.2,0.9899999499320984,0.6877079202671244,0.5467598024272299,paraboloid,T+F,1042,learned_latent,,,,
0.5,0.9049999713897705,0.7295653622453384,0.4536218470554447,paraboloid,T+F,1042,learned_latent,,,,
1.0,0.7649999856948853,0.9161386926189746,0.4729106716287372,paraboloid,T+F,1042,learned_latent,1.7287212683882809,0.19967956840991974,,
2.0,0.4949999749660492,,,paraboloid,T+F,1042,learned_latent,1.6390442947650778,0.2253199815750122,,
3.0,0.3799999952316284,,,paraboloid,T+F,1042,learned_latent,1.8509118520157708,0.2616989314556122,,
4.0,0.2199999988079071,,,paraboloid,T+F,1042,learned_latent,1.1459414109683255,0.20802901685237885,,
5.0,0.13499999046325684,,,paraboloid,T+F,1042,learned_latent,1.2446147397761869,0.1718767285346985,,
0.1,0.9449999928474426,0.9784308539496528,1.184673869383174,paraboloid,T+F,1042,end_to_end,,,0.051052533090114594,0.04914829879999161
0.2,0.824999988079071,1.3008273962772254,1.0342183203360502,paraboloid,T+F,1042,end_to_end,,,0.08499756455421448,0.050745975226163864
0.5,0.5450000166893005,1.6426852165012185,1.0213723685382063,paraboloid,T+F,1042,end_to_end,,,0.033497318625450134,0.03263199329376221
1.0,0.32999998331069946,1.701212218313506,0.8781655214733489,paraboloid,T+F,1042,end_to_end,1.3995771714223542,0.175161674618721,0.09244606643915176,0.29467976093292236
2.0,0.12999999523162842,,,paraboloid,T+F,1042,end_to_end,1.534596685007946,0.26352015137672424,,
3.0,0.05999999865889549,,,paraboloid,T+F,1042,end_to_end,1.6332885685460299,0.19972583651542664,,
4.0,0.019999999552965164,,,paraboloid,T+F,1042,end_to_end,1.13794586155432,0.14002779126167297,,
5.0,0.004999999888241291,,,paraboloid,T+F,1042,end_to_end,1.7852151018417197,0.33814913034439087,,
0.1,0.9950000047683716,0.35222997617481944,0.42647638011754524,paraboloid,T+F+K,1042,learned_latent,,,,
0.2,0.9899999499320984,0.6376417911413944,0.5069548997027602,paraboloid,T+F+K,1042,learned_latent,,,,
0.5,0.9049999713897705,0.6715258182083046,0.41753460041409235,paraboloid,T+F+K,1042,learned_latent,,,,
1.0,0.7649999856948853,0.8631986730238971,0.44558304053482906,paraboloid,T+F+K,1042,learned_latent,1.7013775621997005,0.197510227560997,,
2.0,0.4949999749660492,,,paraboloid,T+F+K,1042,learned_latent,1.6237108912312497,0.22516490519046783,,
3.0,0.3799999952316284,,,paraboloid,T+F+K,1042,learned_latent,1.7685711766915269,0.25303828716278076,,
4.0,0.2199999988079071,,,paraboloid,T+F+K,1042,learned_latent,1.1593872148618536,0.19744110107421875,,
5.0,0.13499999046325684,,,paraboloid,T+F+K,1042,learned_latent,1.216635362786794,0.1474379003047943,,
0.1,0.9649999737739563,1.0190530885686528,1.233858847222761,paraboloid,T+F+K,1042,end_to_end,,,0.01894523575901985,0.014810934662818909
0.2,0.8650000095367432,1.3817574385273663,1.0985614703959286,paraboloid,T+F+K,1042,end_to_end,,,0.016946740448474884,0.018479038029909134
0.5,0.5699999928474426,1.676801045735677,1.0425845672965666,paraboloid,T+F+K,1042,end_to_end,,,0.008309504948556423,0.009321040473878384
1.0,0.3499999940395355,1.8273729596819197,0.9432896794358921,paraboloid,T+F+K,1042,end_to_end,1.3878745726286392,0.14191438257694244,0.02182498387992382,0.04736683890223503
2.0,0.11499999463558197,,,paraboloid,T+F+K,1042,end_to_end,1.5281121777544693,0.25457438826560974,,
3.0,0.044999998062849045,,,paraboloid,T+F+K,1042,end_to_end,2.1376545029143483,0.3315046727657318,,
4.0,0.014999999664723873,,,paraboloid,T+F+K,1042,end_to_end,1.6781052107315775,0.3313462436199188,,
5.0,0.009999999776482582,,,paraboloid,T+F+K,1042,end_to_end,1.9181333886861476,0.5322486162185669,,
0.1,1.0,0.3450572967529297,0.44861623994697747,paraboloid,baseline,2042,learned_latent,,,,
0.2,0.9899999499320984,0.5817921571057252,0.5134145961095951,paraboloid,baseline,2042,learned_latent,,,,
0.5,0.9099999666213989,1.1846553257533483,0.6345407264171675,paraboloid,baseline,2042,learned_latent,,,,
1.0,0.7749999761581421,0.9574029737903226,0.5239012530254029,paraboloid,baseline,2042,learned_latent,1.7691143538414331,0.23868988454341888,,
2.0,0.5049999952316284,,,paraboloid,baseline,2042,learned_latent,1.831832581407674,0.24637503921985626,,
3.0,0.32999998331069946,,,paraboloid,baseline,2042,learned_latent,2.604475185014885,0.3724024295806885,,
4.0,0.17000000178813934,,,paraboloid,baseline,2042,learned_latent,2.8971362175050563,0.35116562247276306,,
5.0,0.10499999672174454,,,paraboloid,baseline,2042,learned_latent,1.5423543570254545,0.3334648013114929,,
0.1,0.9799999594688416,1.0125999450683594,1.316502459741786,paraboloid,baseline,2042,end_to_end,,,0.7753428220748901,0.7564375400543213
0.2,0.8949999809265137,1.408065881143069,1.2425770386096804,paraboloid,baseline,2042,end_to_end,,,0.8553006649017334,0.6974948644638062
0.5,0.6299999952316284,1.8557762267097595,0.994015364102028,paraboloid,baseline,2042,end_to_end,,,0.9726141691207886,0.6781696677207947
1.0,0.3700000047683716,1.8915493939373944,1.0350762685851804,paraboloid,baseline,2042,end_to_end,1.4659945456354735,0.16871725022792816,0.48951053619384766,0.3465043902397156
