surface,config,seed,distance,reconstruction,tangent,curvature
paraboloid,baseline,5042,0.4,2.2361119,0.6025796,0.15027066
paraboloid,baseline,5042,0.5,4.004985,0.5760229,0.123631366
paraboloid,T,5042,0.0,0.3063821,0.081742525,0.067705385
paraboloid,T,5042,0.1,1.3874271,0.2921635,0.1859919
paraboloid,T,5042,0.2,2.084341,0.38470244,0.21065404
paraboloid,T,5042,0.3,2.9721563,0.43046373,0.21200316
paraboloid,T,5042,0.4,4.0453124,0.4638593,0.20597167
paraboloid,T,5042,0.5,6.849623,0.45150137,0.19155312
paraboloid,K,5042,0.0,0.4323862,0.36230394,0.3762479
paraboloid,K,5042,0.1,1.3249555,0.4814178,0.17359504
paraboloid,K,5042,0.2,1.8340273,0.5134259,0.1833209
paraboloid,K,5042,0.3,2.490681,0.508321,0.18064365
paraboloid,K,5042,0.4,3.259554,0.5169581,0.15866557
paraboloid,K,5042,0.5,5.5565505,0.49368963,0.15713196
paraboloid,T+K,5042,0.0,0.3096289,0.08277823,0.06869207
paraboloid,T+K,5042,0.1,1.3852304,0.3005069,0.18556583
paraboloid,T+K,5042,0.2,2.0745082,0.39328074,0.2029631
paraboloid,T+K,5042,0.3,2.9555054,0.43554103,0.20170864
paraboloid,T+K,5042,0.4,4.02107,0.4667242,0.19735183
paraboloid,T+K,5042,0.5,6.812366,0.45348665,0.18396804
paraboloid,T+F,5042,0.0,0.16121826,0.11579624,0.13045253
paraboloid,T+F,5042,0.1,0.7739527,0.1980709,0.11951443
paraboloid,T+F,5042,0.2,1.1513876,0.23115368,0.14134021
paraboloid,T+F,5042,0.3,1.8733239,0.27276433,0.14654343
paraboloid,T+F,5042,0.4,2.708886,0.29884642,0.14077467
paraboloid,T+F,5042,0.5,5.2860947,0.3595875,0.16328464
paraboloid,T+F+K,5042,0.0,0.19080181,0.113589354,0.11868776
paraboloid,T+F+K,5042,0.1,0.8854414,0.20019779,0.1251077
paraboloid,T+F+K,5042,0.2,1.2991027,0.23555098,0.15037036
paraboloid,T+F+K,5042,0.3,2.0629725,0.2801758,0.15347011
paraboloid,T+F+K,5042,0.4,2.9299126,0.3083972,0.14452603
paraboloid,T+F+K,5042,0.5,5.590435,0.37106842,0.16718572
paraboloid,baseline,6042,0.0,0.2860552,0.3169808,0.6914038
paraboloid,baseline,6042,0.1,0.801043,0.34938753,0.27294815
paraboloid,baseline,6042,0.2,1.4875071,0.39100572,0.30048287
paraboloid,baseline,6042,0.3,1.955514,0.34760034,0.21526459
paraboloid,baseline,6042,0.4,2.983499,0.3935567,0.23660332
paraboloid,baseline,6042,0.5,4.253407,0.36923748,0.1998518
paraboloid,T,6042,0.0,0.13935642,0.034033034,0.06177944
paraboloid,T,6042,0.1,0.7577374,0.09455025,0.1388104
paraboloid,T,6042,0.2,1.4249878,0.15326196,0.16904952
paraboloid,T,6042,0.3,1.8929735,0.14554414,0.1457605
paraboloid,T,6042,0.4,2.926261,0.17794941,0.15107562
paraboloid,T,6042,0.5,4.0275917,0.17541192,0.14690147
paraboloid,K,6042,0.0,0.2595872,0.28978357,0.51066214
paraboloid,K,6042,0.1,0.7251445,0.30694842,0.18763536
paraboloid,K,6042,0.2,1.4211336,0.3486878,0.21416718
paraboloid,K,6042,0.3,1.9089429,0.30894768,0.16883127
paraboloid,K,6042,0.4,2.98133,0.36520192,0.1388814
paraboloid,K,6042,0.5,4.2678375,0.350056,0.12725227
paraboloid,T+K,6042,0.0,0.14942472,0.042458177,0.05550091
paraboloid,T+K,6042,0.1,0.79213333,0.112974934,0.09411689
paraboloid,T+K,6042,0.2,1.4635097,0.16770531,0.09878434
paraboloid,T+K,6042,0.3,1.936834,0.1535541,0.0830828
paraboloid,T+K,6042,0.4,3.0118203,0.18693136,0.08891518
paraboloid,T+K,6042,0.5,4.1279655,0.18258189,0.07961236
paraboloid,T+F,6042,0.0,0.0615245,0.020049063,0.039340142
paraboloid,T+F,6042,0.1,0.43152034,0.067079194,0.034622416
paraboloid,T+F,6042,0.2,0.90532786,0.12120929,0.039745416
paraboloid,T+F,6042,0.3,1.1870984,0.13084675,0.032930784
paraboloid,T+F,6042,0.4,1.9503553,0.1608766,0.041144382
paraboloid,T+F,6042,0.5,2.7576425,0.17107101,0.03231791
paraboloid,T+F+K,6042,0.0,0.069515064,0.016088748,0.02016639
paraboloid,T+F+K,6042,0.1,0.4716847,0.063144475,0.03522836
paraboloid,T+F+K,6042,0.2,0.9341001,0.1141938,0.04118194
paraboloid,T+F+K,6042,0.3,1.1602881,0.12221284,0.031967957
paraboloid,T+F+K,6042,0.4,1.8985099,0.15176313,0.043488912
paraboloid,T+F+K,6042,0.5,2.6105952,0.16139859,0.032236256
paraboloid,baseline,7042,0.0,0.11089954,0.14660625,0.3052079
paraboloid,baseline,7042,0.1,0.6583739,0.32134458,0.19196445
paraboloid,baseline,7042,0.2,1.3878902,0.39764714,0.20413814
paraboloid,baseline,7042,0.3,2.3908367,0.47983176,0.18742666
paraboloid,baseline,7042,0.4,3.5873973,0.53574926,0.18964802
paraboloid,baseline,7042,0.5,5.2975535,0.5998917,0.16165185
paraboloid,T,7042,0.0,0.061635587,0.00933511,0.012095268
paraboloid,T,7042,0.1,0.6489152,0.07580136,0.067749485
paraboloid,T,7042,0.2,1.502939,0.15822347,0.11984151
paraboloid,T,7042,0.3,2.7105422,0.27506718,0.15491791
paraboloid,T,7042,0.4,4.0866485,0.3415861,0.16127075
paraboloid,T,7042,0.5,6.071551,0.40469527,0.16916113
paraboloid,K,7042,0.0,0.102076046,0.08702023,0.11685185
paraboloid,K,7042,0.1,0.6898643,0.18743077,0.12679648
paraboloid,K,7042,0.2,1.4981315,0.25275052,0.16762204
paraboloid,K,7042,0.3,2.6337812,0.3314011,0.19877256
paraboloid,K,7042,0.4,3.9509866,0.3863894,0.19489418
paraboloid,K,7042,0.5,5.767584,0.44256648,0.21170759
paraboloid,T+K,7042,0.0,0.04294796,0.0045478786,0.0071303877
paraboloid,T+K,7042,0.1,0.5525861,0.05366581,0.05581651
paraboloid,T+K,7042,0.2,1.3858931,0.13302246,0.10757047
paraboloid,T+K,7042,0.3,2.5857635,0.24451806,0.14369573
paraboloid,T+K,7042,0.4,3.949933,0.31277707,0.14944693
