surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final,diff_loss_final
hyperbolic_paraboloid,T+F+K+S,1042,0.007004486862570047,1.0076339184938363,1.8622031947544644,2.4532714419894748,1.1835875489586916,0.9073578423369218,1.4020392460769096,0.20034858584403992,0.7199999690055847,0.26499998569488525,0.061596691608428955,0.1862340271472931,0.014229297637939453
hyperbolic_paraboloid,baseline,2042,0.0006981728365644813,0.9110178731793734,2.309367420909169,3.0683937801676953,1.993705462412121,1.18296317764482,2.0587192724914005,0.254444420337677,0.7849999666213989,0.23499999940395355,0.09644119441509247,0.027958808466792107,0.2738173007965088
hyperbolic_paraboloid,T+F,2042,0.00989710632711649,0.8986839409449592,2.2102832165393203,2.8469545400826033,1.4885867898731204,1.0361853590197938,1.8036743672912985,0.18077751994132996,0.7849999666213989,0.23499999940395355,0.04290717840194702,0.017825577408075333,0.011281536892056465
hyperbolic_paraboloid,T+F+K,2042,0.002228962257504463,1.035533272441308,2.403487320784684,2.8508701202975715,1.2447407629912937,0.9657911065830812,1.1293347903268343,0.14227010309696198,0.7849999666213989,0.23499999940395355,0.012791914865374565,0.008194240741431713,0.018135102465748787
hyperbolic_paraboloid,T+F+K+S,2042,0.002228962257504463,1.0466022587301742,2.4009801843664147,2.785952428343949,1.3449761978889054,0.9021808589362421,0.9141321755752374,0.15335607528686523,0.7849999666213989,0.23499999940395355,0.0610773079097271,0.17401382327079773,0.018135102465748787
hyperbolic_paraboloid,baseline,3042,0.001255505601875484,0.5566874694824219,1.2356229035750679,1.773141336121015,1.1987580803244666,0.5984001871352427,0.944574099709371,0.19100536406040192,0.7450000047683716,0.23999999463558197,0.1039096862077713,0.009359272196888924,0.18195636570453644
hyperbolic_paraboloid,T+F,3042,0.0020072301849722862,0.47879093170166015,1.050385682479195,1.5896738551607068,1.0397543769740352,0.4707397093534249,0.779104450337944,0.1671167016029358,0.7450000047683716,0.23999999463558197,0.016986312344670296,0.015694260597229004,0.024072227999567986
hyperbolic_paraboloid,T+F+K,3042,0.00798816978931427,0.47855003356933595,1.0686273160188093,1.4648115938941904,1.048206684336958,0.5067635193033545,0.8622231417900769,0.1473643034696579,0.7450000047683716,0.23999999463558197,0.012599102221429348,0.005516163073480129,0.03525170683860779
hyperbolic_paraboloid,T+F+K+S,3042,0.00798816978931427,0.476021728515625,1.134672330773395,1.7521565072488465,1.084737709193172,0.5229513568203236,0.9233002790349178,0.18022969365119934,0.7450000047683716,0.23999999463558197,0.043260276317596436,0.24981574714183807,0.03525170683860779
hyperbolic_paraboloid,baseline,4042,0.0009673775639384985,0.917065658569336,1.8618467561491243,2.2921893471165706,1.248451038646769,0.6930169145433768,1.303074887167463,0.18134570121765137,0.7599999904632568,0.29999998211860657,0.07429704815149307,0.02099391631782055,0.1010093092918396
hyperbolic_paraboloid,T+F,4042,0.002596868434920907,0.9194004821777344,1.881740192790608,2.3197581642552425,0.9857578326509884,0.6965073236438074,1.3259381599323108,0.15319858491420746,0.7599999904632568,0.29999998211860657,0.049055229872465134,0.01841168850660324,0.021552154794335365
hyperbolic_paraboloid,T+F+K,4042,0.002419046126306057,0.9260816955566407,1.8852317726219094,2.3126140393708883,1.0288273090302775,0.7197306451031188,1.4103295830610796,0.15415233373641968,0.7599999904632568,0.29999998211860657,0.014397135935723782,0.006774989888072014,0.015291579999029636
hyperbolic_paraboloid,T+F+K+S,4042,0.002419046126306057,0.9204713439941407,1.837458013178228,2.2686629044382194,0.9252693694794508,0.6355181178309371,1.2154938182322916,0.12839893996715546,0.7599999904632568,0.29999998211860657,0.04921985790133476,0.21151243150234222,0.015291579999029636
hyperbolic_paraboloid,baseline,5042,0.0019238211680203676,0.7855266571044922,1.44282712218582,2.027593675002553,1.62365596696116,0.7324936776309257,1.0461519253051306,0.22213469445705414,0.7649999856948853,0.26499998569488525,0.4007396101951599,0.05399971455335617,0.25224798917770386
hyperbolic_paraboloid,T+F,5042,0.0022063336800783873,0.8341555786132813,1.893516622563844,2.5748677970537175,1.2615346192578953,0.7804451610248051,1.3681903343549597,0.1709245890378952,0.7649999856948853,0.26499998569488525,0.049587592482566833,0.007838664576411247,0.020893553271889687
hyperbolic_paraboloid,T+F+K,5042,0.002401897683739662,0.8323491668701172,1.8269006872689852,2.443734362234477,1.171161058502683,0.7294014420948808,1.2703492456090697,0.1317061185836792,0.7649999856948853,0.26499998569488525,0.026559030637145042,0.0049481261521577835,0.0104407062754035
hyperbolic_paraboloid,T+F+K+S,5042,0.002401897683739662,0.8408711242675782,1.8543153168052755,2.6832209568397674,1.4967408958220183,0.8114496297984345,1.4682292262395813,0.16046373546123505,0.7649999856948853,0.26499998569488525,0.22167715430259705,0.3113138973712921,0.0104407062754035
hyperbolic_paraboloid,baseline,6042,0.0016839124727994204,1.1650311279296874,2.3965755789620538,2.952016961084653,1.6995999789660055,1.136622327028432,1.7943333603606213,0.22537632286548615,0.7299999594688416,0.3050000071525574,0.15202443301677704,0.01603729836642742,0.24364328384399414
hyperbolic_paraboloid,T+F,6042,0.009922116994857788,0.8961375427246093,2.0477291434151788,2.815555938302654,1.4689802019209366,0.9771556292241466,1.7308511255787764,0.2509269118309021,0.7299999594688416,0.3050000071525574,0.04073457047343254,0.013722551986575127,0.022035257890820503
hyperbolic_paraboloid,T+F+K,6042,0.009676540270447731,1.2898095703125,2.6090440150669645,2.937535743190818,1.061867228394075,0.9924816294250689,1.2653811207280012,0.19022080302238464,0.7299999594688416,0.3050000071525574,0.04094512015581131,0.010973884724080563,0.027532123029232025
hyperbolic_paraboloid,T+F+K+S,6042,0.009676540270447731,1.2921188354492188,2.611853724888393,2.9544431085455907,1.2589941545668686,1.118878338109687,1.5636923915965428,0.20861613750457764,0.7299999594688416,0.3050000071525574,0.14437997341156006,0.21237944066524506,0.027532123029232025
hyperbolic_paraboloid,baseline,7042,0.002825767733156681,1.0130027886012092,1.955921624296455,2.556674134497549,1.4386822047860948,0.8356779168542783,1.3388662019047848,0.19395340979099274,0.7649999856948853,0.26999998092651367,0.1641274392604828,0.027600793167948723,0.09719248116016388
hyperbolic_paraboloid,T+F,7042,0.0012897468404844403,1.0133746736612752,2.022792036815356,2.6018940046721815,1.3132424718082867,0.8707120063610677,1.3021850323697548,0.21479713916778564,0.7649999856948853,0.26999998092651367,0.016495903953909874,0.006334619130939245,0.01300742942839861
hyperbolic_paraboloid,T+F+K,7042,0.01244770921766758,0.9389027351111023,1.972594230405746,2.2458001429738563,0.9014583881569964,0.4806906462083737,0.8135066271304329,0.15767137706279755,0.7649999856948853,0.26999998092651367,0.01794593408703804,0.009945573285222054,0.012174169532954693
hyperbolic_paraboloid,T+F+K+S,7042,0.01244770921766758,0.9424518220987751,2.037958288705477,2.478366826873979,1.1881536188130961,0.5422052916897151,1.0527355339007476,0.19510518014431,0.7649999856948853,0.26999998092651367,0.09500601142644882,0.2614081799983978,0.012174169532954693
hyperbolic_paraboloid,baseline,8042,0.020525138825178146,0.9202613830566406,1.5892071013754987,2.0754072081367925,1.6372790657911849,0.6464083048779529,1.1789461737606086,0.18852904438972473,0.7949999570846558,0.29999998211860657,0.40136775374412537,0.006864069029688835,2.1727652549743652
hyperbolic_paraboloid,T+F,8042,0.0011041030520573258,0.8730846405029297,1.7277982995865193,2.2711204672759435,1.2026153926014271,0.8680085061298535,1.379615778011063,0.19896726310253143,0.7949999570846558,0.29999998211860657,0.02613212913274765,0.013728446327149868,0.11738847196102142
hyperbolic_paraboloid,T+F+K,8042,0.0012903769966214895,0.8531085205078125,1.6378037472988696,2.1786856021521226,1.1427740898407697,0.9714854586595666,1.4470305300342374,0.18545851111412048,0.7949999570846558,0.29999998211860657,0.009034594520926476,0.007027703803032637,0.11662545800209045
