N,D,K_pairs,surface,condition,seed,ae_loss,drift_loss,diff_loss,recon_per_dim,phase1_converged,E_mu,E_Sigma,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
50,201,99,paraboloid,baseline,9042,0.008101956453174353,0.0002441813485347666,4.152989004069241e-05,0.0015285934381817112,True,0.2891296148300171,0.182273268699646,1.1154203033447265,2.13768864199112,2.9167727420204566,1.9323496820611399,0.23211444914340973,0.7599999904632568
50,201,99,paraboloid,K(Phat),9042,0.019460093695670366,0.0001413423815392889,3.3792372050811537e-05,0.0015285934381817112,True,0.14818373322486877,0.45775994658470154,1.2141351318359375,2.1196479172003073,2.7386892218338814,1.6554417204496048,0.2162283957004547,0.7599999904632568
50,201,99,hyperbolic_paraboloid,baseline,42,0.0158127099275589,0.0002474263819749467,9.337058145320043e-05,0.0013583013370855532,True,0.27539876103401184,1.0510550737380981,0.9625868225097656,2.121668276579484,2.6412465213950163,1.322766977618154,0.14466851949691772,0.7649999856948853
50,201,99,hyperbolic_paraboloid,K(Phat),42,0.021770648192614317,0.00017232223763130605,6.618639235966839e-05,0.0013583013370855532,True,0.1030883640050888,0.3180367648601532,1.9105140686035156,2.7829490329908286,3.2407176697176268,1.939044810388588,0.4047144651412964,0.7649999856948853
50,201,99,hyperbolic_paraboloid,baseline,1042,0.0200496818870306,0.0002649031957844272,2.6024725229945034e-05,0.00038070150127458337,True,0.23202085494995117,0.49155062437057495,1.6476747139015389,2.65419921875,3.1650267706976996,1.4292655198277113,0.17963142693042755,0.7199999690055847
50,201,99,hyperbolic_paraboloid,K(Phat),1042,0.021928908303380013,0.00023066987341735512,2.0142852918070275e-05,0.00038070150127458337,True,0.13867691159248352,0.3222777247428894,1.6215936862044598,2.6005880301339284,3.1031229231092663,1.286158455622259,0.15032640099525452,0.7199999690055847
50,201,99,hyperbolic_paraboloid,baseline,2042,0.07377418503165245,0.00041648132901173085,8.474988135276362e-05,0.0010344650021832974,True,0.3018566966056824,0.971267819404602,1.4137341676644943,2.505486792260474,2.9690178549213773,1.57410271312571,0.23619240522384644,0.7849999666213989
50,201,99,hyperbolic_paraboloid,K(Phat),2042,0.051582494750618935,0.0003902359458152205,6.433857561205514e-05,0.0010344650021832974,True,0.18749800324440002,0.8229010701179504,1.2037167956481627,2.389108175759787,2.8949549972631368,1.5534865422733295,0.18817050755023956,0.7849999666213989
50,201,99,hyperbolic_paraboloid,baseline,3042,0.036581587977707386,0.00015055775293149054,0.00011147443728987128,0.0019057178082157724,True,0.11141117662191391,0.2960277795791626,3.193682861328125,3.9658548106317935,4.136996480442534,3.059262241264919,0.6495149731636047,0.7450000047683716
50,201,99,hyperbolic_paraboloid,K(Phat),3042,0.03524566348642111,0.00011034742965421174,9.114350905292667e-05,0.0019057178082157724,True,0.08400623500347137,0.2571369707584381,1.631604461669922,2.7019941910453467,3.0506247706061242,1.5465152934217279,0.25716432929039,0.7450000047683716
50,201,99,hyperbolic_paraboloid,baseline,4042,0.028271861374378204,0.0001824774626584258,2.557397419877816e-05,0.0003401015454263829,True,0.22711221873760223,0.29815858602523804,1.3124266052246094,2.2970975100339115,2.577838295384457,1.7505166027357235,0.21115045249462128,0.7599999904632568
50,201,99,hyperbolic_paraboloid,K(Phat),4042,0.014253048226237297,0.00011592136797844432,1.571659731780528e-05,0.0003401015454263829,True,0.1014104038476944,0.30130016803741455,1.5913113403320311,2.4700414636632897,2.697084527266653,1.8009072812188427,0.28630316257476807,0.7599999904632568
50,201,99,hyperbolic_paraboloid,baseline,5042,0.027698633261024952,0.00045608877553604543,5.079813490738161e-05,0.0002787998919166736,True,0.4789990782737732,0.6340538263320923,1.3893490600585938,2.4311520156039985,3.024057824627247,1.5397537044731113,0.19598791003227234,0.7649999856948853
50,201,99,hyperbolic_paraboloid,K(Phat),5042,0.020848043262958527,0.00031764972663950175,3.143399317195872e-05,0.0002787998919166736,True,0.14458253979682922,0.47794803977012634,1.2886468505859374,2.378053726688508,3.0319620768229165,1.5978582817910068,0.17923714220523834,0.7649999856948853
50,201,99,hyperbolic_paraboloid,baseline,6042,0.053516361862421036,0.00044289785728324205,0.0001243362457898911,0.0004747308679481051,True,0.2357337325811386,0.7108358144760132,0.8387881469726562,1.4645234026227678,1.8608849930436644,1.5752448378949915,0.17398817837238312,0.7299999594688416
50,201,99,hyperbolic_paraboloid,K(Phat),6042,0.018281242810189724,0.0003758811508305371,3.174102312186733e-05,0.0004747308679481051,True,0.11013675481081009,0.330460786819458,1.1993952941894532,2.4186136300223215,2.6919108351616012,1.5023890596247704,0.16502316296100616,0.7299999594688416
50,201,99,hyperbolic_paraboloid,baseline,7042,0.01837020553648472,0.0006443967868108302,6.83328544255346e-05,0.0006309792918352345,True,0.15513333678245544,0.3213711082935333,0.9953543504877905,2.034033990675403,2.623300589767157,1.3394376278089577,0.1463647037744522,0.7649999856948853
50,201,99,hyperbolic_paraboloid,K(Phat),7042,0.033007869496941566,0.0006144893122836947,5.3879501137998886e-05,0.0006309792918352345,True,0.10597053170204163,0.35082173347473145,1.0971659751393688,2.08225586593792,2.641329896216299,1.369954293840717,0.17135681211948395,0.7649999856948853
50,201,99,hyperbolic_paraboloid,baseline,8042,0.044350034557282925,0.00013922682046541013,0.00023777347814757377,0.0005201241789172538,True,0.51502525806427,1.762270450592041,2.3327088928222657,2.9546966552734375,3.2708863072425314,2.4324769626482294,0.5292419195175171,0.7949999570846558
50,201,99,hyperbolic_paraboloid,K(Phat),8042,0.13891756534576416,0.00015534236081293784,0.00010118127465830185,0.0005201241789172538,True,0.24863708019256592,0.6063072085380554,1.4986328125,2.353201521203873,2.865295985959611,1.77600369271433,0.3053286671638489,0.7949999570846558
50,201,99,hyperbolic_paraboloid,baseline,9042,0.04228200018405914,0.00047952026943676174,6.93026049702894e-05,0.0004504826012535475,True,0.3812806308269501,1.108731985092163,1.3792605590820313,2.130974274515454,2.7537408126027962,1.7432750759754165,0.24705414474010468,0.7599999904632568
50,201,99,hyperbolic_paraboloid,K(Phat),9042,0.020336046814918518,0.000255088132689707,2.9027512937318534e-05,0.0004504826012535475,True,0.12325252592563629,0.3984363377094269,1.1234203338623048,2.027430800140881,2.7389753241288033,1.392431937767267,0.1355910450220108,0.7599999904632568
