time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,distance,W2,MMD
1.0,0.8050000071525574,0.7328258064222632,0.38280775916963933,paraboloid,T+K,learned_ambient,0.0,1.4608666855258703,0.0738266110420227
2.0,0.5249999761581421,,,paraboloid,T+K,learned_ambient,0.0,3.6870206548747038,0.21176381409168243
3.0,0.32999998331069946,,,paraboloid,T+K,learned_ambient,0.0,18.197401394960377,0.33018049597740173
4.0,0.22499999403953552,,,paraboloid,T+K,learned_ambient,0.0,24.946379320208816,0.43338900804519653
5.0,0.1599999964237213,,,paraboloid,T+K,learned_ambient,0.0,29.68447846671024,0.4959777891635895
0.1,1.0,0.13109903335571288,0.1667776253466522,paraboloid,T+F,learned_latent,0.0,,
0.2,0.9799999594688416,0.28914375694430605,0.25440682727531905,paraboloid,T+F,learned_latent,0.0,,
0.5,0.9149999618530273,0.28406111920466187,0.19141112148667183,paraboloid,T+F,learned_latent,0.0,,
1.0,0.8050000071525574,0.46328337296195654,0.24200631079021864,paraboloid,T+F,learned_latent,0.0,1.1946344185965205,0.10329428315162659
2.0,0.5249999761581421,,,paraboloid,T+F,learned_latent,0.0,2.1373239042081766,0.13688214123249054
3.0,0.32999998331069946,,,paraboloid,T+F,learned_latent,0.0,2.098787448894944,0.16276399791240692
4.0,0.22499999403953552,,,paraboloid,T+F,learned_latent,0.0,1.4623354159837305,0.07335765659809113
5.0,0.1599999964237213,,,paraboloid,T+F,learned_latent,0.0,0.9090505299459027,0.09980843961238861
0.1,1.0,0.14564559936523438,0.1852830381930895,paraboloid,T+F,learned_ambient,0.0,,
0.2,0.9799999594688416,0.270252208320462,0.237784856949896,paraboloid,T+F,learned_ambient,0.0,,
0.5,0.9149999618530273,0.37043953984161543,0.24961616698061148,paraboloid,T+F,learned_ambient,0.0,,
1.0,0.8050000071525574,0.5945601848341664,0.31058165535822657,paraboloid,T+F,learned_ambient,0.0,1.212413454152996,0.05925429239869118
2.0,0.5249999761581421,,,paraboloid,T+F,learned_ambient,0.0,2.757872072144675,0.165832057595253
3.0,0.32999998331069946,,,paraboloid,T+F,learned_ambient,0.0,14.032774893004119,0.23143501579761505
4.0,0.22499999403953552,,,paraboloid,T+F,learned_ambient,0.0,42.05437714092498,0.31235137581825256
5.0,0.1599999964237213,,,paraboloid,T+F,learned_ambient,0.0,59.69324723621273,0.3505260944366455
0.1,1.0,0.14823470115661622,0.18857676384075164,paraboloid,T+F+K,learned_latent,0.0,,
0.2,0.9799999594688416,0.3158400788599131,0.27789592705822863,paraboloid,T+F+K,learned_latent,0.0,,
0.5,0.9149999618530273,0.3206747086321721,0.21608274227586877,paraboloid,T+F+K,learned_latent,0.0,,
1.0,0.8050000071525574,0.51152725693602,0.2672075700197684,paraboloid,T+F+K,learned_latent,0.0,1.2776678447359775,0.11969117075204849
2.0,0.5249999761581421,,,paraboloid,T+F+K,learned_latent,0.0,2.2792450560634294,0.16362959146499634
3.0,0.32999998331069946,,,paraboloid,T+F+K,learned_latent,0.0,2.1925477728685476,0.18507856130599976
4.0,0.22499999403953552,,,paraboloid,T+F+K,learned_latent,0.0,1.581188279552208,0.08401772379875183
5.0,0.1599999964237213,,,paraboloid,T+F+K,learned_latent,0.0,1.0478580336668666,0.11959153413772583
0.1,1.0,0.17619857788085938,0.22415100749594,paraboloid,T+F+K,learned_ambient,0.0,,
0.2,0.9799999594688416,0.3427357965586137,0.3015604677674269,paraboloid,T+F+K,learned_ambient,0.0,,
0.5,0.9149999618530273,0.48571844048838797,0.3272954485321686,paraboloid,T+F+K,learned_ambient,0.0,,
1.0,0.8050000071525574,0.7520518806410132,0.3928509240320241,paraboloid,T+F+K,learned_ambient,0.0,1.3580650780144892,0.0619799941778183
2.0,0.5249999761581421,,,paraboloid,T+F+K,learned_ambient,0.0,2.8845855769390667,0.14969582855701447
3.0,0.32999998331069946,,,paraboloid,T+F+K,learned_ambient,0.0,11.414578371877889,0.22867728769779205
4.0,0.22499999403953552,,,paraboloid,T+F+K,learned_ambient,0.0,11.241926278429963,0.3381390869617462
5.0,0.1599999964237213,,,paraboloid,T+F+K,learned_ambient,0.0,16.441753213202468,0.4038434326648712
0.1,0.9799999594688416,0.8315951288962851,0.672943163261023,paraboloid,baseline,learned_latent,0.2,,
0.2,0.9449999928474426,1.0844076651114005,0.6557859664612875,paraboloid,baseline,learned_latent,0.2,,
0.5,0.7400000095367432,0.8954001761771537,0.4726390281923774,paraboloid,baseline,learned_latent,0.2,,
1.0,0.5649999976158142,1.1021767000181486,0.4411761715426866,paraboloid,baseline,learned_latent,0.2,2.4555033450688515,0.19260266423225403
2.0,0.3449999988079071,,,paraboloid,baseline,learned_latent,0.2,2.1484384190830075,0.21835291385650635
3.0,0.19999998807907104,,,paraboloid,baseline,learned_latent,0.2,3.478690799343004,0.2810668349266052
4.0,0.10499999672174454,,,paraboloid,baseline,learned_latent,0.2,0.6776033824468042,0.12594154477119446
5.0,0.08500000089406967,,,paraboloid,baseline,learned_latent,0.2,1.9502629672842977,0.3452628254890442
0.1,0.9799999594688416,0.5223432657670002,0.4226904624127225,paraboloid,baseline,learned_ambient,0.2,,
0.2,0.9449999928474426,0.814962074239418,0.4928411230194408,paraboloid,baseline,learned_ambient,0.2,,
0.5,0.7400000095367432,0.974461014206345,0.514371472130158,paraboloid,baseline,learned_ambient,0.2,,
1.0,0.5649999976158142,1.2849638272175747,0.5143416857327444,paraboloid,baseline,learned_ambient,0.2,2.7687096812655563,0.1002999097108841
2.0,0.3449999988079071,,,paraboloid,baseline,learned_ambient,0.2,4.334726595414589,0.16024628281593323
3.0,0.19999998807907104,,,paraboloid,baseline,learned_ambient,0.2,5.266950164071625,0.2318875789642334
4.0,0.10499999672174454,,,paraboloid,baseline,learned_ambient,0.2,6.458533043099012,0.2354974001646042
5.0,0.08500000089406967,,,paraboloid,baseline,learned_ambient,0.2,5.946530634650594,0.375639945268631
0.1,0.9799999594688416,0.8050191451092156,0.6514373535526611,paraboloid,T,learned_latent,0.2,,
0.2,0.9449999928474426,1.0493236723400297,0.6345692314204754,paraboloid,T,learned_latent,0.2,,
0.5,0.7400000095367432,0.8560305930472709,0.45185770381260054,paraboloid,T,learned_latent,0.2,,
1.0,0.5649999976158142,1.071947891100318,0.42907626942314053,paraboloid,T,learned_latent,0.2,2.4060733226022615,0.18764330446720123
2.0,0.3449999988079071,,,paraboloid,T,learned_latent,0.2,2.1063201104997282,0.21551215648651123
3.0,0.19999998807907104,,,paraboloid,T,learned_latent,0.2,3.4455699670574864,0.27625566720962524
4.0,0.10499999672174454,,,paraboloid,T,learned_latent,0.2,0.6541486323252554,0.12247053533792496
5.0,0.08500000089406967,,,paraboloid,T,learned_latent,0.2,1.981305517543261,0.3548555374145508
