surface,config,seed,distance,reconstruction,tangent,cov_tangent,drift_tangent,normal_drift_learned,normal_drift_true
paraboloid,T,2042,0.5,4.841617107391357,0.24595145881175995,669.1696166992188,3.9141297340393066,10.27921199798584,3.867738962173462
paraboloid,K,2042,0.0,0.12181929498910904,0.14217804372310638,6.9059882164001465,0.7693279981613159,2.908259630203247,2.7902584075927734
paraboloid,K,2042,0.1,0.7833160758018494,0.2538631558418274,37.71257400512695,1.5462446212768555,2.6589887142181396,2.959735870361328
paraboloid,K,2042,0.2,1.081978440284729,0.2699436545372009,42.79977035522461,1.4272940158843994,2.444690227508545,2.958683729171753
paraboloid,K,2042,0.3,1.5225012302398682,0.30209192633628845,58.407928466796875,1.6809064149856567,2.6693694591522217,3.2749381065368652
paraboloid,K,2042,0.4,2.3736727237701416,0.332401305437088,103.74585723876953,1.558573603630066,3.241837978363037,3.613997459411621
paraboloid,K,2042,0.5,3.502260208129883,0.27893581986427307,186.87069702148438,1.9197239875793457,4.418426036834717,3.867738962173462
paraboloid,T+K,2042,0.0,0.027342362329363823,0.005890227854251862,0.3378371596336365,0.034002505242824554,2.9482851028442383,2.7902584075927734
paraboloid,T+K,2042,0.1,0.2732011377811432,0.020036188885569572,4.37837028503418,0.18830546736717224,3.930818557739258,2.959735870361328
paraboloid,T+K,2042,0.2,0.7122136354446411,0.0414927639067173,35.688690185546875,0.39429572224617004,4.440691947937012,2.958683729171753
paraboloid,T+K,2042,0.3,1.4054101705551147,0.08601157367229462,139.58067321777344,0.8631085157394409,5.386836528778076,3.2749381065368652
paraboloid,T+K,2042,0.4,2.701846122741699,0.1571369767189026,361.8298645019531,1.6856600046157837,6.616168975830078,3.613997459411621
paraboloid,T+K,2042,0.5,4.523938179016113,0.2463398575782776,584.779541015625,3.2366745471954346,8.985702514648438,3.867738962173462
paraboloid,T+F,2042,0.0,0.009449328295886517,0.010017980821430683,0.8905804753303528,0.07353855669498444,3.218303680419922,2.7902584075927734
paraboloid,T+F,2042,0.1,0.07483720779418945,0.028666118159890175,7.987668991088867,0.378210186958313,4.714651584625244,2.959735870361328
paraboloid,T+F,2042,0.2,0.22523480653762817,0.04051452875137329,20.18240737915039,0.623454749584198,5.375321388244629,2.958683729171753
paraboloid,T+F,2042,0.3,0.5322095155715942,0.05260646715760231,44.27801513671875,0.9719671010971069,6.6797194480896,3.2749381065368652
paraboloid,T+F,2042,0.4,1.334153413772583,0.07238078117370605,93.7615737915039,1.3315035104751587,7.902225971221924,3.613997459411621
paraboloid,T+F,2042,0.5,2.2800402641296387,0.10181822627782822,171.47064208984375,2.021989345550537,9.664294242858887,3.867738962173462
paraboloid,T+F+K,2042,0.0,0.013767385855317116,0.005582424346357584,0.29068177938461304,0.03270273655653,3.037787675857544,2.7902584075927734
paraboloid,T+F+K,2042,0.1,0.07165329158306122,0.011091993190348148,2.450047254562378,0.1536065936088562,3.987926483154297,2.959735870361328
