surface,condition,drift_mode,seed,E_mu,E_Sigma,R1,R2,kappa_g,recon,mfpt_err,its_t2_err,stat_l1,exit_frac
paraboloid,T+F,oracle_drift+learned_diff,4042,0.00016488299297634512,9.198643965646625e-06,159263.78125,25143358.0,1.7998511791229248,2.2879665003931936e-08,0.03143388754601547,0.038891311293143355,0.023652322590351105,0.0
paraboloid,T+F,oracle_drift+oracle_diff,4042,0.00016488299297634512,9.198643965646625e-06,159263.78125,25143358.0,1.7998511791229248,2.2879665003931936e-08,0.02257960192501779,0.07959204860363109,0.010554857552051544,0.0
paraboloid,baseline,learned,5042,0.005326434504240751,0.00027895145467482507,190698.15625,55800988.0,1.5631184577941895,1.971480081585324e-07,0.05023536781700373,0.10129609444046168,0.014261960983276367,0.03150000050663948
paraboloid,baseline,oracle_drift+learned_diff,5042,0.005326434504240751,0.00027895145467482507,190698.15625,55800988.0,1.5631184577941895,1.971480081585324e-07,0.009719376019103693,0.05987610189944655,0.002607308328151703,0.0
paraboloid,baseline,oracle_drift+oracle_diff,5042,0.005326434504240751,0.00027895145467482507,190698.15625,55800988.0,1.5631184577941895,1.971480081585324e-07,0.03376757413087892,0.047965468651439906,0.012803450226783752,0.0
paraboloid,T,learned,5042,9.839281119639054e-05,4.137596988584846e-06,34314.59765625,4442433.5,2.028446912765503,5.269565696124942e-08,0.044672353692236294,0.12378309404666295,0.06599018722772598,0.017000000923871994
paraboloid,T+F,learned,5042,0.0033267266117036343,0.00018074296531267464,238615.0625,84187704.0,1.7937321662902832,8.842829656578711e-08,0.038587925471039036,0.00018597906737476851,0.00413745641708374,0.0325000025331974
paraboloid,T+F,oracle_drift+learned_diff,5042,0.0033267266117036343,0.00018074296531267464,238615.0625,84187704.0,1.7937321662902832,8.842829656578711e-08,0.025424876476260353,0.06377882361590338,0.02741072326898575,0.0
paraboloid,T+F,oracle_drift+oracle_diff,5042,0.0033267266117036343,0.00018074296531267464,238615.0625,84187704.0,1.7937321662902832,8.842829656578711e-08,0.022963075937214743,0.02327453676834993,0.0070432573556900024,0.0
paraboloid,baseline,learned,6042,0.02448723465204239,0.002606344874948263,64857.0078125,12210663.0,1.6244757175445557,7.719960439005004e-07,0.20363090272703227,0.39814881283329795,0.12710697948932648,0.023000001907348633
paraboloid,baseline,oracle_drift+learned_diff,6042,0.02448723465204239,0.002606344874948263,64857.0078125,12210663.0,1.6244757175445557,7.719960439005004e-07,0.04021831419783051,0.15646995790493773,0.05818651616573334,0.0
paraboloid,baseline,oracle_drift+oracle_diff,6042,0.02448723465204239,0.002606344874948263,64857.0078125,12210663.0,1.6244757175445557,7.719960439005004e-07,0.14880805532707306,0.05028237804446372,0.03427528589963913,0.0
paraboloid,T,learned,6042,0.00023872344172559679,6.218626367626712e-06,35310.5625,4006406.25,1.9294843673706055,2.1198795719155624e-07,0.16854484521383892,0.23616325788259002,0.0429738312959671,0.01100000087171793
paraboloid,T+F,learned,6042,0.0005387883866205812,3.165957605233416e-05,279727.40625,103954536.0,1.7757281064987183,1.4113907557327198e-08,0.4333130876872464,0.8675961248604042,0.2722439169883728,0.030000001192092896
paraboloid,T+F,oracle_drift+learned_diff,6042,0.0005387883866205812,3.165957605233416e-05,279727.40625,103954536.0,1.7757281064987183,1.4113907557327198e-08,0.18742948798195053,0.03154642377724796,0.0042953044176101685,0.0
paraboloid,T+F,oracle_drift+oracle_diff,6042,0.0005387883866205812,3.165957605233416e-05,279727.40625,103954536.0,1.7757281064987183,1.4113907557327198e-08,0.029698690128650652,0.027208964637659105,0.012476079165935516,0.0
paraboloid,baseline,learned,7042,0.022454213351011276,0.0013171699829399586,27185.412109375,1198001.0,1.327277660369873,9.616230648075837e-07,0.3779234967392918,0.04324168886097422,0.09911443293094635,0.04150000214576721
paraboloid,baseline,oracle_drift+learned_diff,7042,0.022454213351011276,0.0013171699829399586,27185.412109375,1198001.0,1.327277660369873,9.616230648075837e-07,0.07413456949706936,0.06660156453673438,0.02047189325094223,0.0
paraboloid,baseline,oracle_drift+oracle_diff,7042,0.022454213351011276,0.0013171699829399586,27185.412109375,1198001.0,1.327277660369873,9.616230648075837e-07,0.03700286342079199,0.032448965044776165,0.06538774073123932,0.0
paraboloid,T,learned,7042,0.00013489770935848355,5.690375473932363e-06,46389.19921875,5471610.5,1.988322377204895,1.3695658093077405e-07,0.04202299905782039,0.026297593582506263,0.03424905985593796,0.052000001072883606
paraboloid,T+F,learned,7042,0.0005961979040876031,3.172693686792627e-05,309462.84375,96475552.0,1.8043296337127686,2.230157026214831e-07,0.07714088685275021,0.09823097751983824,0.02771768718957901,0.05650000274181366
paraboloid,T+F,oracle_drift+learned_diff,7042,0.0005961979040876031,3.172693686792627e-05,309462.84375,96475552.0,1.8043296337127686,2.230157026214831e-07,0.019062079909250684,0.004004749325450665,0.021066896617412567,0.0
paraboloid,T+F,oracle_drift+oracle_diff,7042,0.0005961979040876031,3.172693686792627e-05,309462.84375,96475552.0,1.8043296337127686,2.230157026214831e-07,0.06034752186356209,0.03191537755477582,0.0043588727712631226,0.0
paraboloid,baseline,learned,8042,0.012606391683220863,0.0012960697058588266,255639.609375,64460096.0,1.4226057529449463,5.445024418524137e-07,0.12581397451218657,0.26943566960910376,0.04225456714630127,0.04400000348687172
paraboloid,baseline,oracle_drift+learned_diff,8042,0.012606391683220863,0.0012960697058588266,255639.609375,64460096.0,1.4226057529449463,5.445024418524137e-07,0.03701140782516356,0.04274952864113991,0.011597730219364166,0.0
paraboloid,baseline,oracle_drift+oracle_diff,8042,0.012606391683220863,0.0012960697058588266,255639.609375,64460096.0,1.4226057529449463,5.445024418524137e-07,0.05366390909242869,0.09698781315348422,0.005375035107135773,0.0
paraboloid,T,learned,8042,0.00010258893598802388,3.993036443716846e-06,129244.1796875,20265810.0,2.1209702491760254,5.671740633369521e-08,0.013537618521788869,0.10124113438054069,0.04914186894893646,0.013500000350177288
paraboloid,T+F,learned,8042,0.00014332530554383993,9.530560419079848e-06,225776.0,51132944.0,1.781201958656311,2.7577220523076607e-07,0.15039301372996242,0.42553460057988335,0.12742507457733154,0.07050000131130219
paraboloid,T+F,oracle_drift+learned_diff,8042,0.00014332530554383993,9.530560419079848e-06,225776.0,51132944.0,1.781201958656311,2.7577220523076607e-07,0.016586236314362977,0.07104780021389448,0.008879624307155609,0.0
paraboloid,T+F,oracle_drift+oracle_diff,8042,0.00014332530554383993,9.530560419079848e-06,225776.0,51132944.0,1.781201958656311,2.7577220523076607e-07,0.01586394212812593,0.06633005814037055,0.008895382285118103,0.0
