N,D,K_pairs,surface,seed,condition,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0,ae_loss,recon_per_dim,phase1_converged
20,201,99,hyperbolic_paraboloid,9042,K(Phat),0.8444,2.1098,6.7e-05,7.5e-05,1.5726,2.4974,2.9175,1.6122,0.164,0.76,,,
50,11,4,paraboloid,42,baseline,0.1152,0.1782,0.016896,0.014538,0.5073,1.286,1.9224,1.7401,0.212,0.765,,,
50,11,4,paraboloid,42,K(Phat),0.0419,0.1349,0.01257,0.009181,0.498,1.3087,1.9974,1.8395,0.2247,0.765,,,
50,11,4,paraboloid,1042,baseline,0.1569,0.1566,0.003278,0.009699,1.1779,2.1841,2.7645,1.728,0.2437,0.72,,,
50,11,4,paraboloid,1042,K(Phat),0.1055,0.0768,0.002193,0.007898,1.1859,2.153,2.7177,1.6644,0.2368,0.72,,,
50,11,4,paraboloid,2042,baseline,0.1277,0.204,0.011059,0.012115,0.9612,2.3752,2.9627,1.7848,0.2214,0.785,,,
50,11,4,paraboloid,2042,K(Phat),0.0469,0.0499,0.005606,0.005557,0.9462,2.3678,2.9453,1.8796,0.2436,0.785,,,
50,11,4,paraboloid,3042,baseline,0.0368,0.0303,0.005664,0.031451,1.1213,2.1134,2.7291,1.7912,0.1677,0.745,,,
50,11,4,paraboloid,3042,K(Phat),0.0305,0.0301,0.004023,0.031131,1.1204,2.0965,2.6734,1.7146,0.1606,0.745,,,
50,11,4,paraboloid,4042,baseline,0.1882,0.4395,0.032501,0.046011,0.8691,1.9522,2.3838,1.5565,0.1643,0.76,,,
50,11,4,paraboloid,4042,K(Phat),0.0833,0.2073,0.019766,0.019174,1.0923,2.2581,2.5753,1.5379,0.1837,0.76,,,
50,11,4,paraboloid,5042,baseline,0.1317,0.2842,0.006738,0.014222,1.0839,2.1599,2.7733,1.9073,0.2668,0.765,,,
50,11,4,paraboloid,5042,K(Phat),0.0461,0.0922,0.004084,0.008685,1.0708,2.1436,2.7529,1.8873,0.2693,0.765,,,
50,11,4,paraboloid,6042,baseline,0.0489,0.0411,0.003649,0.007085,1.1571,2.3861,2.8039,1.8913,0.2664,0.73,,,
50,11,4,paraboloid,6042,K(Phat),0.0456,0.1635,0.003131,0.008038,1.1554,2.3535,2.7604,1.8859,0.2654,0.73,,,
50,11,4,paraboloid,7042,baseline,0.0813,0.1941,0.00797,0.030573,1.0783,2.1669,2.7333,1.9452,0.2286,0.765,,,
50,11,4,paraboloid,7042,K(Phat),0.0368,0.0561,0.00724,0.015929,1.0768,2.1558,2.7373,1.9243,0.2423,0.765,,,
50,11,4,paraboloid,8042,baseline,0.1116,0.1091,0.015969,0.047783,0.8898,1.8954,2.1714,1.4981,0.1444,0.795,,,
50,11,4,paraboloid,8042,K(Phat),0.0641,0.1462,0.009313,0.043111,0.8773,1.8614,2.1384,1.5049,0.1353,0.795,,,
50,11,4,paraboloid,9042,baseline,0.0686,0.0658,0.006793,0.015983,0.5797,1.4633,2.3405,2.0848,0.3213,0.76,,,
50,11,4,paraboloid,9042,K(Phat),0.0418,0.0476,0.0059,0.013277,0.5839,1.463,2.3222,2.0463,0.3241,0.76,,,
50,11,4,hyperbolic_paraboloid,42,baseline,0.0767,0.1277,0.004357,0.024226,0.9212,2.202,2.792,1.6333,0.1809,0.765,,,
50,11,4,hyperbolic_paraboloid,42,K(Phat),0.0305,0.0311,0.003134,0.023332,0.9137,2.1804,2.7384,1.5658,0.1663,0.765,,,
50,11,4,hyperbolic_paraboloid,1042,baseline,0.0474,0.0467,0.004921,0.003388,1.1257,2.0798,2.8183,1.5954,0.2142,0.72,,,
50,11,4,hyperbolic_paraboloid,1042,K(Phat),0.0276,0.0283,0.00317,0.002985,1.1287,2.0948,2.8686,1.6373,0.2174,0.72,,,
50,11,4,hyperbolic_paraboloid,2042,baseline,0.0414,0.038,0.005343,0.005099,1.5442,3.0027,3.417,1.8029,0.2138,0.785,,,
50,11,4,hyperbolic_paraboloid,2042,K(Phat),0.0283,0.0247,0.004526,0.004974,1.5451,3.0117,3.4346,1.8511,0.2162,0.785,,,
50,11,4,hyperbolic_paraboloid,3042,baseline,0.0362,0.0573,0.003657,0.033332,1.1069,2.2894,2.8749,1.3471,0.1531,0.745,,,
50,11,4,hyperbolic_paraboloid,3042,K(Phat),0.0341,0.0838,0.002646,0.032873,1.1152,2.2997,2.8307,1.2909,0.1371,0.745,,,
50,11,4,hyperbolic_paraboloid,4042,baseline,0.028,0.0242,0.004345,0.004566,1.5462,2.8495,3.0986,1.4506,0.1855,0.76,,,
50,11,4,hyperbolic_paraboloid,4042,K(Phat),0.0157,0.0323,0.002672,0.003497,1.5448,2.8368,3.0484,1.4348,0.1824,0.76,,,
50,11,4,hyperbolic_paraboloid,5042,baseline,0.0654,0.1152,0.00754,0.00968,1.4168,2.6406,3.1509,1.4244,0.1549,0.765,,,
50,11,4,hyperbolic_paraboloid,5042,K(Phat),0.0292,0.0536,0.006811,0.007407,1.4208,2.6461,3.1611,1.407,0.1512,0.765,,,
