time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,W2,MMD
4.0,0.22499999403953552,,,hyperbolic_paraboloid,baseline,learned_latent,1.3746978385314246,0.12484206259250641
5.0,0.1599999964237213,,,hyperbolic_paraboloid,baseline,learned_latent,0.7942136021852527,0.14097213745117188
0.1,1.0,0.11836162567138672,0.15810936436692682,hyperbolic_paraboloid,baseline,learned_ambient,,
0.2,0.9799999594688416,0.2227725398783781,0.21431422852972828,hyperbolic_paraboloid,baseline,learned_ambient,,
0.5,0.9149999618530273,0.3642046985730447,0.2564065834747718,hyperbolic_paraboloid,baseline,learned_ambient,,
1.0,0.8050000071525574,0.6088520784555755,0.3269033840840872,hyperbolic_paraboloid,baseline,learned_ambient,2.7003516165259573,0.08048202097415924
2.0,0.5249999761581421,,,hyperbolic_paraboloid,baseline,learned_ambient,7132973.491814265,0.16313527524471283
3.0,0.32999998331069946,,,hyperbolic_paraboloid,baseline,learned_ambient,11.615681162695312,0.14904579520225525
4.0,0.22499999403953552,,,hyperbolic_paraboloid,baseline,learned_ambient,6.481690969478028,0.1968354880809784
5.0,0.1599999964237213,,,hyperbolic_paraboloid,baseline,learned_ambient,13.370714770126666,0.25766727328300476
0.1,1.0,0.19340991973876953,0.2583600833352504,hyperbolic_paraboloid,T,learned_latent,,
0.2,0.9799999594688416,0.304202955596301,0.29265286368184085,hyperbolic_paraboloid,T,learned_latent,,
0.5,0.9149999618530273,0.3809912426224172,0.26822460895580524,hyperbolic_paraboloid,T,learned_latent,,
1.0,0.8050000071525574,0.6025561694032657,0.3235229998365595,hyperbolic_paraboloid,T,learned_latent,1.3515695601964586,0.14837083220481873
2.0,0.5249999761581421,,,hyperbolic_paraboloid,T,learned_latent,1.3104470936809136,0.18645824491977692
3.0,0.32999998331069946,,,hyperbolic_paraboloid,T,learned_latent,1.1756862976080278,0.19222597777843475
4.0,0.22499999403953552,,,hyperbolic_paraboloid,T,learned_latent,1.3732877927539826,0.1265176236629486
5.0,0.1599999964237213,,,hyperbolic_paraboloid,T,learned_latent,0.7890533121265739,0.1455397605895996
0.1,1.0,0.11638437271118164,0.15546811804272884,hyperbolic_paraboloid,T,learned_ambient,,
0.2,0.9799999594688416,0.21642262595040457,0.20820541051541291,hyperbolic_paraboloid,T,learned_ambient,,
0.5,0.9149999618530273,0.3633938982187073,0.2558357656090212,hyperbolic_paraboloid,T,learned_ambient,,
1.0,0.8050000071525574,0.6073816903629659,0.32611390686884906,hyperbolic_paraboloid,T,learned_ambient,3.452278610147516,0.08824189007282257
2.0,0.5249999761581421,,,hyperbolic_paraboloid,T,learned_ambient,10.510834962887518,0.21661700308322906
3.0,0.32999998331069946,,,hyperbolic_paraboloid,T,learned_ambient,27.562733056755537,0.24498535692691803
4.0,0.22499999403953552,,,hyperbolic_paraboloid,T,learned_ambient,17.675512954404265,0.32893016934394836
