surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final
sinusoidal,T+F,5042,0.00036726793041452765,0.6139900970458985,1.3027803154401882,1.7261835235396241,0.7469346839119192,0.45324698013571135,0.9836351956951106,0.12259117513895035,0.7649999856948853,0.26499998569488525,0.007867462001740932,0.0013869678368791938
sinusoidal,T+F+S,5042,0.00036726793041452765,0.6240605163574219,1.3784839260962702,1.8632581124897876,0.8279751634333684,0.5204026417386644,1.0433268822105841,0.19443652033805847,0.7649999856948853,0.26499998569488525,0.35358548164367676,0.16462792456150055
sinusoidal,T+F,6042,0.0046022385358810425,0.6660008239746094,1.3582386125837054,1.744036321770655,0.7176170004191871,0.5647818943274395,0.9167005634020361,0.1643398255109787,0.7299999594688416,0.3050000071525574,0.026826493442058563,0.01014984492212534
sinusoidal,T+F+S,6042,0.0046022385358810425,0.6734300231933594,1.4383577183314733,1.9727615983518836,0.9594484344715184,0.6568157679849629,1.177053727738356,0.2266882210969925,0.7299999594688416,0.3050000071525574,0.19096152484416962,0.20541110634803772
sinusoidal,T+F,7042,0.006685693748295307,0.8048434616932317,1.5757784279443885,1.8592459485421773,0.6183244074036396,0.42498638242163334,0.6272261779693453,0.13042320311069489,0.7649999856948853,0.26999998092651367,0.026273686438798904,0.007200342603027821
sinusoidal,T+F+S,7042,0.006685693748295307,0.801335857142156,1.586160147061912,1.8984297210094976,0.6010702308476354,0.4367320073111391,0.6741842472423795,0.13376589119434357,0.7649999856948853,0.26999998092651367,0.23146462440490723,0.23119443655014038
sinusoidal,T+F,8042,0.0007488977862522006,0.5162365341186523,0.9704046046480219,1.363987664756535,0.7306233982067933,0.4611384226660719,1.005478748908093,0.1517726331949234,0.7949999570846558,0.29999998211860657,0.0071839820593595505,0.002909046597778797
sinusoidal,T+F+S,8042,0.0007488977862522006,0.527369270324707,1.0544130041244182,1.555970293920745,0.6398705894897787,0.4933658567497288,0.7880656897217883,0.13450929522514343,0.7949999570846558,0.29999998211860657,0.16344773769378662,0.28101447224617004
sinusoidal,T+F,9042,0.005070711951702833,0.7579204559326171,1.5675133877113216,1.9217049448113692,0.6525506439296576,0.7582477666613192,0.9277960533733107,0.13527461886405945,0.7599999904632568,0.3199999928474426,0.03321946784853935,0.0020124651491642
sinusoidal,T+F+S,9042,0.005070711951702833,0.7628553009033203,1.588683081454918,1.9450259961579974,0.6622500381246744,0.7855962286687552,0.9696930450224975,0.14533279836177826,0.7599999904632568,0.3199999928474426,0.14885364472866058,0.292873740196228
