surface,D,N,seed,ae_condition,drift_method,E_mu,E_Sigma,rcMTE@0.1,rcMTE@0.5,rcMTE@1.0,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
hyperbolic_paraboloid,11,20,42,baseline,enc-pull,1.494085669517517,1.8199681043624878,0.40723198652267456,0.6330641508102417,0.8235964179039001,0.8304255088347369,1.189305699857554,1.1757646833147322,0.8451720984148497,0.3066730467149648,0.34615430832640104,0.5567713158543935,0.9537311951974263,0.21696177124977112,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,20,42,baseline,dec-side,1.494085669517517,1.8199681043624878,0.46125081181526184,0.9291983842849731,1.6063650846481323,0.8936493667568555,1.8356460915472275,2.2775057111467634,1.6901550276359198,0.43746666212026847,0.626616705652961,1.1274764986091748,2.1215739226459345,0.34629470109939575,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,20,42,T+F,enc-pull,0.13197475671768188,0.2031017243862152,0.5034146904945374,0.8581476807594299,0.8207197785377502,0.9032804833223135,1.7036818884369125,1.8998369489397322,1.2176458618170725,0.4289040831071296,0.5365304315510225,0.7224714296332714,0.6272160072752975,0.27970120310783386,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,20,42,T+F,dec-side,0.13197475671768188,0.2031017243862152,0.5216734409332275,0.9427900314331055,1.0260595083236694,0.9366007849474527,1.8456838507401316,2.225701904296875,1.4767705948049583,0.472338353289659,0.6362561385364285,1.0025499292513822,1.2946056442048912,0.35364189743995667,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,20,1042,baseline,enc-pull,1.5255017280578613,2.434732437133789,0.1555088460445404,0.25702181458473206,0.2828187644481659,0.37648163181636274,0.6283789992775616,0.6840285742842911,0.5046379897492015,0.21095644622249168,0.23479915087165323,0.2697643838944971,0.41561164288611896,0.07054777443408966,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,20,1042,baseline,dec-side,1.5255017280578613,2.434732437133789,0.15010470151901245,0.35907432436943054,0.564339280128479,0.35478839152108854,0.7432266859316915,1.071786662876206,0.8382757924290438,0.22524609668670748,0.30992439856176107,0.5183768635868459,0.8779797555309353,0.26424679160118103,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,20,1042,T+F,enc-pull,0.1331120878458023,0.141511470079422,0.5299924612045288,0.8201658129692078,0.9424551129341125,0.9247030755193834,1.518790092610072,1.6153325842530935,0.6480260391657744,0.45529682978132346,0.6203874285111066,0.6363304829479411,0.7824586686234061,0.1824885457754135,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,20,1042,T+F,dec-side,0.1331120878458023,0.141511470079422,0.5460659861564636,0.9197216033935547,1.1199122667312622,0.956146716009535,1.7487870113557156,1.951261994022651,1.1439163580317315,0.5162803893618196,0.7582709562550879,0.9287541459904929,1.1827588584213855,0.27688172459602356,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,20,2042,baseline,enc-pull,1.074222207069397,2.6294164657592773,0.7218959927558899,1.1676853895187378,0.9294899702072144,1.2355835228635554,1.7469925653366816,1.5962738954931273,0.5642513213428128,0.46242503436668586,0.5809485456332317,0.7083395517385681,0.4063590282464571,0.14000268280506134,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,11,20,2042,baseline,dec-side,1.074222207069397,2.6294164657592773,0.7862901091575623,1.5608813762664795,1.6729629039764404,1.3121145148026316,2.267215304904514,2.3550993266858553,1.5483041930067347,0.6547278549826204,0.945580435440375,1.4575634439288678,1.9620769389450605,0.3520776927471161,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,11,20,2042,T+F,enc-pull,0.08598167449235916,0.21860787272453308,0.5306459665298462,1.0091861486434937,0.8614742755889893,0.8656601487544545,1.5425054156591023,1.7623143016843867,0.9618110268145517,0.422561911569268,0.6791415968514507,0.9459590846523176,0.8889496086329586,0.26355159282684326,0.26600000262260437,0.04800000041723251
