surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss
paraboloid,11,mb,F,3042,3.923617821948772e-05,0.015097332186996937,0.03698601946234703,0.002699011005461216,1.3576842546463013,1.43032705783844,0.000565332907301906,9.614610306536113e-05
paraboloid,11,mb,C,3042,0.002417340705340559,0.43169957399368286,1.3647726774215698,0.15056070685386658,12.824992179870605,12.883564949035645,0.777646758726665,0.00176489950224225
paraboloid,11,mb,T+F,3042,3.922846241783356e-08,1.859242911450565e-05,4.81202696391847e-05,2.7741702979255933e-06,1.270460844039917,1.3316746950149536,0.0010660191889785761,1.5662157640658085e-07
paraboloid,11,mb,ATLAS,4042,0.0009948677298697558,0.02042369171977043,0.7926980257034302,0.0006294961785897613,,,,
paraboloid,11,mb,baseline,4042,3.634361002530733e-06,0.002272727433592081,0.004221747629344463,0.00037829455686733127,1.0611255168914795,1.126047134399414,0.0011754744087478944,9.173016483795696e-06
paraboloid,11,mb,T,4042,7.494461235844276e-07,1.3067509826214518e-05,3.4334683732595295e-05,1.7217855656781467e-06,1.0152848958969116,1.113486886024475,0.0006519300347593214,6.339168895205408e-07
paraboloid,11,mb,F,4042,3.783032827248628e-05,0.016960253939032555,0.04291566461324692,0.0028834021650254726,1.3425263166427612,1.420539140701294,0.0010268452045108592,9.062509759262736e-05
paraboloid,11,mb,C,4042,0.002248275855725462,0.4478534460067749,1.4356911182403564,0.17993435263633728,14.42835521697998,14.466673851013184,0.6533373594284058,0.001724902424030006
paraboloid,11,mb,T+F,4042,2.032702701109718e-08,1.5745465134386905e-05,4.765061748912558e-05,2.6001507649198174e-06,1.102879285812378,1.196007490158081,0.0008413126509237502,1.8295565545096387e-07
paraboloid,11,mb,ATLAS,5042,0.00039388082752173597,0.006764797959476709,0.753190815448761,0.0007586725987493992,,,,
paraboloid,11,mb,baseline,5042,4.431063478643244e-06,0.003129662247374654,0.00838476326316595,0.00041206495370715857,1.0361820459365845,1.1301738023757935,0.00031126324237058204,1.721512879677383e-05
paraboloid,11,mb,T,5042,8.730829987061125e-07,1.1626072591752745e-05,4.316524064051919e-05,2.2333201741275843e-06,1.0679680109024048,1.1318180561065674,0.0001899562994367443,7.576861094094056e-07
paraboloid,11,mb,F,5042,3.216410087506202e-05,0.01418357715010643,0.03822740912437439,0.002296443097293377,1.265628457069397,1.3497320413589478,0.0027322360879874657,9.032128478533455e-05
paraboloid,11,mb,C,5042,0.002383300187912854,0.45045435428619385,1.960446834564209,0.185833141207695,15.283333778381348,15.327228546142578,0.3670528829097748,0.0018194427913320915
paraboloid,11,mb,T+F,5042,3.753094740039325e-08,1.7462822142988443e-05,6.764270074199885e-05,3.3764449653972406e-06,1.1769942045211792,1.2344013452529907,0.0004980283307044633,3.1164153061321744e-07
paraboloid,11,mb,ATLAS,6042,0.0009579358791763133,0.019150476902723312,0.8164689540863037,0.0006433320231735706,,,,
paraboloid,11,mb,baseline,6042,3.8703517268665815e-06,0.002955187112092972,0.005245749372988939,0.0004169066669419408,1.136739730834961,1.1950856447219849,0.0031754293512286885,1.3127471382696448e-05
paraboloid,11,mb,T,6042,9.37730791602834e-07,1.159950716100866e-05,4.507318953983486e-05,1.7624616930334014e-06,0.9986999034881592,1.1004127264022827,0.0037618589703924954,7.76212772279905e-07
paraboloid,11,mb,F,6042,3.192057589661669e-05,0.01492166705429554,0.0455535352230072,0.0028677883092314005,1.3627355098724365,1.435162901878357,0.0009429654913089637,9.280062555002846e-05
paraboloid,11,mb,C,6042,0.002485643056305972,0.45408210158348083,1.8353211879730225,0.18730860948562622,12.936217308044434,13.01869010925293,0.602056941815785,0.0017846390172573073
paraboloid,11,mb,T+F,6042,8.209634023098095e-08,3.4377237170701846e-05,0.00011831925075966865,6.511044375656638e-06,1.2625837326049805,1.333807349205017,0.003743553800242288,2.3957695662245116e-07
paraboloid,11,mb,ATLAS,7042,0.0004195151850581169,0.007985105738043785,1.0774574279785156,0.0007326191989704967,,,,
paraboloid,11,mb,baseline,7042,2.8111796630334784e-06,0.0015928453067317605,0.004482835531234741,0.00013215802027843893,1.0843031406402588,1.144999384880066,0.003226781796131815,8.775997749970494e-06
paraboloid,11,mb,T,7042,1.1981404565052467e-06,1.839772994571831e-05,8.841873204801232e-05,3.932873369194567e-06,1.1344680786132812,1.2178194522857666,0.00034330065786239823,3.9416495464398136e-07
paraboloid,11,mb,F,7042,3.6919261963868685e-05,0.013888398185372353,0.03974878787994385,0.002326477551832795,1.3219908475875854,1.40841543674469,0.001126594251088266,9.147430786729924e-05
paraboloid,11,mb,C,7042,0.002824654294685884,0.4468390643596649,1.6824378967285156,0.15278737246990204,17.269126892089844,17.306493759155273,0.7775310150214604,0.0017827751580625772
paraboloid,11,mb,T+F,7042,5.182848574556622e-08,1.975857412617188e-05,5.648181104334071e-05,3.635134362411918e-06,1.2758008241653442,1.3320438861846924,0.0017495970408033048,3.606890126255686e-07
paraboloid,11,mb,ATLAS,8042,0.0009705696932294152,0.021587016060948372,0.5862167477607727,0.0006463894387707114,,,,
paraboloid,11,mb,baseline,8042,5.781315849162638e-06,0.0049739498645067215,0.010462126694619656,0.000946100102737546,1.095321774482727,1.1953800916671753,0.0002188597760063463,1.9705653877671076e-05
paraboloid,11,mb,T,8042,1.453071738730862e-06,1.5455601896974258e-05,5.6086762924678624e-05,3.1334061532106716e-06,1.0236918926239014,1.1002088785171509,0.0002882111875806004,4.684915657955051e-07
paraboloid,11,mb,F,8042,4.184933442791755e-05,0.017756059765815735,0.03488651663064957,0.003130537923425436,1.305855631828308,1.384126901626587,0.00041485659104572345,0.00010076091192396624
paraboloid,11,mb,C,8042,0.0009728534655137496,0.2659692168235779,0.6580584049224854,0.07872568815946579,9.900501251220703,10.613807678222656,0.5790220669337681,0.0006696861403595124
paraboloid,11,mb,T+F,8042,4.295853014727155e-08,3.249111250624992e-05,0.00010625167487887666,6.384854259522399e-06,1.1705126762390137,1.2482036352157593,0.0003285352452491809,4.902736431436747e-07
paraboloid,11,mb,ATLAS,9042,0.0004592257213186134,0.008633634075522423,0.8481239676475525,0.0004831331316381693,,,,
paraboloid,11,mb,baseline,9042,3.7930559218776496e-06,0.002401199424639344,0.0051986402831971645,0.0004556280910037458,1.0561800003051758,1.1292741298675537,0.0010580730449873954,1.1371246533339477e-05
paraboloid,11,mb,T,9042,1.198585695502433e-06,1.302161854255246e-05,4.667048415285535e-05,2.1296305021678563e-06,0.9971780180931091,1.0643455982208252,0.000868044257263786,2.8836592491643387e-07
paraboloid,11,mb,F,9042,3.6599852716211565e-05,0.015144018456339836,0.03560653328895569,0.00317292008548975,1.407895803451538,1.4901279211044312,0.007271244722817626,9.759704309025048e-05
paraboloid,11,mb,C,9042,0.0026387079534205523,0.42547133564949036,1.7772822380065918,0.18253116309642792,14.861407279968262,14.91617202758789,0.7789179597582135,0.001689457201531955
paraboloid,11,mb,T+F,9042,1.1976948661123804e-07,1.4363227819558233e-05,6.175243470352143e-05,3.7613178847095696e-06,1.1734930276870728,1.237563967704773,0.0009352487062902323,1.5646596348720516e-07
