surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss,E_drift,E_b,E_Lambda
paraboloid,11,rotation,baseline,4042,0.0003975607793439518,0.025631526485085487,0.5269724130630493,0.6370016932487488,1.4174492359161377,1.5538510084152222,1.3815274834632874,0.1487375721335411,1.9711631536483765,7.260293006896973,5.314621925354004
paraboloid,11,rotation,T,4042,0.00029646831733936614,0.0010927696712315083,0.023357464000582695,0.02360769733786583,1.2550809383392334,1.5097291469573975,1.1750683784484863,0.05551863834261894,3.8868908882141113,7.095500946044922,4.620540142059326
paraboloid,11,rotation,F,4042,0.016813935203985733,0.4995998442173004,5.130177974700928,19.873855590820312,1.5256519317626953,1.965333104133606,0.03016689419746399,1.0529762208461761,0.07678544521331787,5.071540355682373,22.5526180267334
paraboloid,11,rotation,C,4042,0.000700306316668337,0.047798942774534225,0.9583995342254639,1.2996892929077148,2.1553995609283447,2.409735679626465,1.3188673853874207,0.16415822505950928,1.0689011812210083,2.4002645015716553,6.555606842041016
paraboloid,11,rotation,T+F,4042,0.00047804944386536425,0.004660492762923241,0.0628143846988678,0.08744146674871445,1.666223406791687,1.9215022325515747,0.07702062837779522,0.017394657246768475,0.08216056227684021,0.2599959671497345,0.5396018028259277
paraboloid,11,rotation,ATLAS,5042,0.0107207636941563,0.1873919516801834,0.10256845504045486,0.8491477966308594,,,0.057548653334379196,1.8280563354492188,,0.10256845504045486,2.810694694519043
paraboloid,11,rotation,baseline,5042,0.0009461607445370067,0.036377474665641785,0.561933696269989,0.59489905834198,1.4099578857421875,1.589976191520691,0.4996136724948883,0.1289592608809471,0.8535503149032593,3.7549498081207275,4.721120357513428
paraboloid,11,rotation,T,5042,0.002131279557943344,0.009958700276911259,0.05290496349334717,0.2465740293264389,1.2833061218261719,1.4829356670379639,0.26329417526721954,0.028068515472114086,1.432802677154541,3.571554660797119,0.8965930938720703
paraboloid,11,rotation,F,5042,0.018985076384110885,0.47683775424957275,6.067726135253906,25.028005599975586,1.8344478607177734,2.0893731117248535,0.01441377867013216,1.4938633441925049,0.05517566204071045,5.741633892059326,26.795318603515625
paraboloid,11,rotation,C,5042,0.001097157174213366,0.06213033199310303,0.9633501768112183,1.279665470123291,2.0037925243377686,2.4630258083343506,0.7775516882538795,0.2217690795660019,1.032900333404541,3.9313836097717285,6.910576343536377
paraboloid,11,rotation,T+F,5042,0.00013467799660495737,0.0015995281282812357,0.04085197299718857,0.03972984105348587,1.638152837753296,1.8000682592391968,0.17462699674069881,0.010297355009242892,0.07373538613319397,0.16910189390182495,0.3438660204410553
paraboloid,11,rotation,ATLAS,6042,0.01551957834850658,0.1903916895389557,0.1545134037733078,1.3792915344238281,,,0.10524381697177887,2.70231556892395,,0.1545134037733078,5.3769755363464355
paraboloid,11,rotation,baseline,6042,0.00041465190323916346,0.018292313441634178,0.4251595139503479,0.49590691924095154,1.4768500328063965,1.6713136434555054,0.6453013122081757,0.14111566171050072,0.8917103409767151,3.59383487701416,5.1391987800598145
paraboloid,11,rotation,T,6042,0.0025668538768183102,0.0062850178219377995,0.0744149461388588,0.21210023760795593,1.4041192531585693,1.5940313339233398,0.24637559801340103,0.07809465378522873,2.1175026893615723,3.3180453777313232,3.445763111114502
paraboloid,11,rotation,F,6042,0.015757743607867847,0.3924839496612549,5.133574485778809,20.917266845703125,1.5869776010513306,1.7283869981765747,0.07384240813553333,1.5839707553386688,0.07569842040538788,5.184567451477051,22.766578674316406
paraboloid,11,rotation,C,6042,0.00064086126671596,0.03652346879243851,0.6586633324623108,1.0698504447937012,2.2038705348968506,2.567666530609131,0.5645245313644409,0.14815136790275574,2.0134947299957275,3.1405529975891113,5.993955612182617
paraboloid,11,rotation,T+F,6042,0.0007608416913585229,0.004841063171625137,0.06396588683128357,0.134230375289917,1.593204140663147,1.8790066242218018,0.12397989071905613,0.046259934082627296,0.04758334159851074,1.1430617570877075,2.9862475395202637
paraboloid,11,rotation,ATLAS,7042,0.003275423903356899,0.18302442133426666,0.13626916706562042,1.1201504468917847,,,0.007606104481965303,0.3546578884124756,,0.13626916706562042,3.4078025817871094
paraboloid,11,rotation,baseline,7042,0.0005796766755255786,0.022592423483729362,0.31399160623550415,0.4386134743690491,1.4053083658218384,1.6102073192596436,2.3383982479572296,0.122931107878685,0.7661449909210205,1.2930775880813599,2.050981044769287
paraboloid,11,rotation,T,7042,0.0004458738152276386,0.0011332519352436066,0.017189685255289078,0.02015260048210621,1.3363993167877197,1.508874773979187,0.5790700912475586,0.01737599214538932,1.2326475381851196,1.2550735473632812,0.6128677129745483
paraboloid,11,rotation,F,7042,0.011039747433228926,0.28160589933395386,2.901698350906372,9.0748291015625,1.6278899908065796,1.7310452461242676,0.029553884640336037,1.1813006401062012,0.07866421341896057,3.0851051807403564,10.756919860839844
paraboloid,11,rotation,C,7042,0.0008500624786723744,0.03579745441675186,0.33024340867996216,0.7748280763626099,2.178553819656372,2.504305362701416,1.9784919917583466,0.21161384508013725,1.6917206048965454,2.0294065475463867,4.600780487060547
paraboloid,11,rotation,T+F,7042,0.0003936020234091715,0.004757419694215059,0.0624275766313076,0.11419661343097687,1.632442593574524,1.9237711429595947,0.16262567415833473,0.026276493910700083,0.07284316420555115,0.4638696312904358,0.7269687652587891
paraboloid,11,rotation,ATLAS,8042,0.017218286340886898,0.17403490841388702,0.09865055978298187,0.8001850843429565,,,0.014512555673718452,0.789820671081543,,0.09865055978298187,2.9437332153320312
paraboloid,11,rotation,baseline,8042,0.0004730465059930628,0.03381012752652168,0.6541440486907959,0.9047231078147888,1.4495919942855835,1.5907377004623413,0.4831746518611908,0.08630019426345825,0.48407304286956787,1.975700855255127,2.4463768005371094
paraboloid,11,rotation,T,8042,0.0004571443000300364,0.0018609213875606656,0.023461591452360153,0.04448898509144783,1.2596434354782104,1.4616451263427734,2.516244947910309,0.017235253006219864,1.479361653327942,3.451512336730957,0.8840895891189575
paraboloid,11,rotation,F,8042,0.01368148218501698,0.4883253276348114,4.301557540893555,19.532453536987305,1.563001275062561,1.973787546157837,0.01873614825308323,0.92396280169487,0.037913016974925995,4.635478973388672,21.743091583251953
paraboloid,11,rotation,C,8042,0.0014400124888528478,0.09838058799505234,2.35180401802063,3.0383975505828857,1.987143635749817,2.3250844478607178,0.28874919563531876,0.2989296317100525,1.205540418624878,6.028321743011475,8.64418888092041
paraboloid,11,rotation,T+F,8042,0.0009202397513118657,0.008058636449277401,0.08719079196453094,0.1673700511455536,1.5501515865325928,1.8058441877365112,0.14888282865285873,0.05945905111730099,0.16830073297023773,2.2702717781066895,3.744065999984741
paraboloid,11,rotation,ATLAS,9042,0.00568527186458761,0.15899033844470978,0.0873422920703888,0.7701625823974609,,,0.058944735676050186,2.1006295680999756,,0.0873422920703888,2.952085494995117
