surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss,E_drift,E_b,E_Lambda
paraboloid,11,mb,C,2042,0.002796833318742839,0.42054957151412964,1.5518927574157715,0.1778171807527542,12.338279724121094,12.447455406188965,0.6010031849145889,0.0020561939870406476,2.493567943572998,5.976982593536377,0.17789074778556824
paraboloid,11,mb,T+F,2042,7.696282657641197e-08,1.4365747119882144e-05,8.053735655266792e-05,3.6806773096031975e-06,1.2181906700134277,1.269897222518921,0.0002717845886114186,3.075514598549489e-07,0.0072508989833295345,0.007882723584771156,2.0340601622592658e-05
paraboloid,11,mb,ATLAS,3042,6.275007035583258e-05,0.001126140938140452,0.36347290873527527,0.0002573165111243725,,,0.07904377579689026,1.547561987536028e-05,,0.36347290873527527,0.0008064476423896849
paraboloid,11,mb,baseline,3042,5.853238028728149e-06,0.0021483104210346937,0.004450085572898388,0.00020195292017888278,1.142934799194336,1.217849850654602,0.00027276652690488845,1.9148987641009236e-05,0.011678061448037624,0.032877884805202484,0.000647941546048969
paraboloid,11,mb,T,3042,9.46274750193962e-07,9.152794518740848e-06,4.171976979705505e-05,2.3051516109262593e-06,1.0574944019317627,1.1033881902694702,0.00035261641356295774,4.7007438297441695e-07,0.007258262950927019,0.011130010709166527,3.434293103055097e-05
paraboloid,11,mb,F,3042,4.108828513629057e-05,0.012871342711150646,0.03776830807328224,0.0027473224326968193,1.376210331916809,1.449981689453125,0.0005555328867298418,9.09095210123009e-05,0.008296651765704155,0.06070314347743988,0.004122620448470116
paraboloid,11,mb,C,3042,0.0027401284738020463,0.43343478441238403,1.4571373462677002,0.15607059001922607,15.121115684509277,15.170893669128418,1.7914753364665168,0.0018970425673095243,3.1458680629730225,5.977573871612549,0.15609632432460785
paraboloid,11,mb,T+F,3042,3.310700239208844e-08,1.1949929103138857e-05,4.507666744757444e-05,2.398834794803406e-06,1.2352018356323242,1.2980842590332031,0.0008165308806513037,1.8962630170855326e-07,0.01368511188775301,0.013751592487096786,1.2181065358163323e-05
paraboloid,11,mb,ATLAS,4042,8.959377142177387e-05,0.0014669487718492746,0.3780919313430786,0.00020910718012601137,,,0.1287672519683838,1.5825218724785373e-05,,0.3780919313430786,0.0006528532830998302
paraboloid,11,mb,baseline,4042,2.94503049438142e-06,0.0015331886243075132,0.002859053434804082,0.00020448250870686024,1.145214557647705,1.2051337957382202,0.0007354174116958997,1.2516455951429504e-05,0.013492968864738941,0.026388484984636307,0.0005952428327873349
paraboloid,11,mb,T,4042,5.732020492194517e-07,6.662477517238585e-06,3.0563678592443466e-05,1.6910643125811475e-06,1.0636906623840332,1.1460589170455933,0.0003381640895635688,2.8179828908443074e-07,0.014210031367838383,0.01757519505918026,1.7527258023619652e-05
