D,seed,condition,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final
11,1042,smooth-metric,0.009157935157418251,1.1139682788944723,2.0462555803571427,2.647449493408203,1.4438125430634248,0.9447381517899358,1.640424119384984,0.16410717368125916,0.7199999690055847,0.26499998569488525,0.12589743733406067,0.08839747309684753
11,2042,baseline,0.0043396297842264175,0.9867269238035883,2.387273599813273,2.87104826520203,1.499086448810698,1.2252708173604445,2.07592339239981,0.23646050691604614,0.7849999666213989,0.23499999940395355,0.026676097884774208,0.005037558265030384
11,2042,smooth-euc,0.0043396297842264175,0.9932411232186322,2.31539548098386,2.6893957830538415,1.373475728742307,1.0595103657835223,1.6173427153238145,0.1859825998544693,0.7849999666213989,0.23499999940395355,0.10946337133646011,0.10446654260158539
11,2042,smooth-metric,0.0043396297842264175,0.9920960239429569,2.3127293848729398,2.685276881904359,1.3684891269606962,1.0586166563091375,1.5981552241009738,0.18983091413974762,0.7849999666213989,0.23499999940395355,0.11404987424612045,0.10759764909744263
11,3042,baseline,0.00970526598393917,1.0496620178222655,2.1066796675972315,2.875498726863989,1.7656389027348531,1.1382555025611052,1.691003891071518,0.2723609507083893,0.7450000047683716,0.23999999463558197,0.02402035892009735,0.002652341267094016
11,3042,smooth-euc,0.00970526598393917,1.0447029876708984,1.9832103563391643,2.6369473246119965,1.389981451091746,0.9690099965786038,1.3326840530356534,0.23082536458969116,0.7450000047683716,0.23999999463558197,0.08195453882217407,0.10044677555561066
11,3042,smooth-metric,0.00970526598393917,1.0461354064941406,1.9888980699622112,2.65587662050388,1.4032909136188743,0.9815190816287452,1.3426449190538636,0.23271507024765015,0.7450000047683716,0.23999999463558197,0.08644470572471619,0.10616446286439896
11,4042,baseline,0.01729690283536911,0.7758580780029297,1.7548360300588084,2.168000672992907,1.3525843752417894,0.6634543651556929,0.9314992006924337,0.15950998663902283,0.7599999904632568,0.29999998211860657,0.0474943146109581,0.007000868674367666
11,4042,smooth-euc,0.01729690283536911,0.777684326171875,1.7292393275669642,2.011593868857936,1.3746681166481174,0.6647607874309315,0.6790742358302329,0.15993987023830414,0.7599999904632568,0.29999998211860657,0.1308526247739792,0.1863817572593689
11,4042,smooth-metric,0.01729690283536911,0.7772824096679688,1.723760248540522,2.0126814591257194,1.3767111026962204,0.6598410608909837,0.6898748935856742,0.16271162033081055,0.7599999904632568,0.29999998211860657,0.14474329352378845,0.19145479798316956
201,42,baseline,0.1538219451904297,1.157304458618164,2.2240524291992188,3.0051010231566586,1.9864731419927744,1.2091458315005075,1.9044378218697335,0.20982690155506134,0.7649999856948853,0.23999999463558197,0.011600052937865257,0.0004444067017175257
201,42,smooth-euc,0.1538219451904297,1.1478724670410156,2.226114853568699,3.0169442370046977,2.015698347270983,1.2006176608157697,1.9522529244587656,0.2708088457584381,0.7649999856948853,0.23999999463558197,0.016546666622161865,0.00862674880772829
201,42,smooth-metric,0.1538219451904297,1.1477467346191406,2.2253116110096807,3.016128041385825,2.014888841793127,1.1997303647981008,1.9509033588593578,0.27048951387405396,0.7649999856948853,0.23999999463558197,0.016569865867495537,0.008595939725637436
201,1042,baseline,0.09649579972028732,1.2036531534626256,2.1992184012276788,2.8232654995388455,1.5686463772615553,1.0973886227412324,1.7640536592159568,0.21884861588478088,0.7199999690055847,0.26499998569488525,0.006968082394450903,0.00045302428770810366
201,1042,smooth-euc,0.09649579972028732,1.2036500863693467,2.1939345005580355,2.7745668623182507,1.6486356364049506,1.0586209088885046,1.6840490764107139,0.22840160131454468,0.7199999690055847,0.26499998569488525,0.01214994490146637,0.0042637609876692295
201,1042,smooth-metric,0.09649579972028732,1.2036720927636229,2.1939390345982144,2.7743407355414496,1.6473671219937174,1.0578818905608336,1.6833705432670658,0.22837942838668823,0.7199999690055847,0.26499998569488525,0.012153347954154015,0.004261917434632778
201,2042,baseline,0.07201142609119415,1.2057823296168342,2.4772778186169297,3.0623588804986066,1.8866676170407717,1.685680284226485,2.363457226628238,0.23670664429664612,0.7849999666213989,0.23499999940395355,0.005922822747379541,0.0005040400428697467
201,2042,smooth-euc,0.07201142609119415,1.1915150551340687,2.3942718505859375,2.8643425619526273,1.5381062737785545,1.4644780628642895,1.5857336698776199,0.21231618523597717,0.7849999666213989,0.23499999940395355,0.012975521385669708,0.007422391790896654
201,2042,smooth-metric,0.07201142609119415,1.191680678171129,2.395528101659083,2.8663458368580814,1.5403615468150775,1.4665893677387922,1.591589639944498,0.21279288828372955,0.7849999666213989,0.23499999940395355,0.013025123625993729,0.0074279699474573135
201,3042,baseline,0.05333130806684494,1.2183487701416016,2.313920394234035,3.164792054451552,2.0287702508539787,1.0371725503664913,2.2698444264182616,0.2861219644546509,0.7450000047683716,0.23999999463558197,0.005015991162508726,0.00023056929057929665
201,3042,smooth-euc,0.05333130806684494,1.2077446746826173,2.2122570535411006,2.718857323563339,1.3598621987034507,0.8003425202653357,1.4855896472415666,0.19410055875778198,0.7450000047683716,0.23999999463558197,0.01213961560279131,0.010362907312810421
201,3042,smooth-metric,0.05333130806684494,1.2077691650390625,2.2124061584472656,2.7185666897152894,1.3597854548413424,0.7999207490803366,1.4843461293206985,0.19403880834579468,0.7450000047683716,0.23999999463558197,0.012151745148003101,0.01038410048931837
201,4042,baseline,0.05648762360215187,1.1198257446289062,2.1724246517642514,2.5637126721833883,1.7170377077828172,1.054550617825288,2.09881264265361,0.22088481485843658,0.7599999904632568,0.29999998211860657,0.007303168997168541,0.00040155366878025234
201,4042,smooth-euc,0.05648762360215187,1.1152879333496093,2.1391202486478367,2.4452815808747945,1.5012943245100776,0.9846612983368653,2.0343547465521867,0.1984270066022873,0.7599999904632568,0.29999998211860657,0.01468851137906313,0.00756192859262228
201,4042,smooth-metric,0.05648762360215187,1.1153658294677735,2.1396450839199863,2.445104900159334,1.5009867688672491,0.9841841159074568,2.0322815711199036,0.19843871891498566,0.7599999904632568,0.29999998211860657,0.014738654717803001,0.0075984131544828415
