surface,config,seed,time,MTE_sde,MTE_ode,E_mu,E_Sigma
paraboloid,T+F+K,2042,1.0,1.3520534185715665,0.4233052995469835,,
paraboloid,T+F,3042,0.1,1.3385560867634225,0.2583993794966717,0.04348136857151985,0.037218429148197174
paraboloid,T+F,3042,0.2,1.8863625919117648,0.441109225624486,0.05457593873143196,0.04162959009408951
paraboloid,T+F,3042,0.5,2.125616943359375,0.8569289873231132,0.043593935668468475,0.04341764748096466
paraboloid,T+F,3042,1.0,2.405054892263105,1.0176828557794744,,
paraboloid,T+F+K,3042,0.1,1.352977103375374,0.188548963094495,0.01005785632878542,0.01969834975898266
paraboloid,T+F+K,3042,0.2,1.938945792313945,0.3301963806152344,0.013113385066390038,0.025367069989442825
paraboloid,T+F+K,3042,0.5,2.1534597873687744,0.704109568654755,0.014707783237099648,0.021287547424435616
paraboloid,T+F+K,3042,1.0,2.393260955810547,0.9926437237940797,,
paraboloid,T+F,4042,0.1,1.2851459703947368,0.1663491439819336,0.10317470133304596,0.0466984361410141
paraboloid,T+F,4042,0.2,1.6523663624223457,0.3825774002075195,0.07474175095558167,0.034713082015514374
paraboloid,T+F,4042,0.5,2.1734831143269497,0.8834443965428312,0.05711236968636513,0.035453859716653824
paraboloid,T+F,4042,1.0,2.368475914001465,0.8718405460965806,,
paraboloid,T+F+K,4042,0.1,1.3430997887436225,0.1749908447265625,0.027226338163018227,0.024521302431821823
paraboloid,T+F+K,4042,0.2,1.6556818762490915,0.36380157470703123,0.018394682556390762,0.02020210400223732
paraboloid,T+F+K,4042,0.5,2.131418364388602,0.8886886200347504,0.020638203248381615,0.021816367283463478
paraboloid,T+F+K,4042,1.0,2.096340548607611,1.139869789024452,,
paraboloid,T+F,5042,0.1,0.9781384153414499,0.28360146373959644,0.17480431497097015,0.3408975601196289
paraboloid,T+F,5042,0.2,1.3071473644625755,0.42920256152595443,0.32042157649993896,0.4219398498535156
paraboloid,T+F,5042,0.5,1.7677238252427843,0.8259221540178572,0.24085839092731476,0.4451535940170288
paraboloid,T+F,5042,1.0,1.9552558990846198,1.45017185684078,,
paraboloid,T+F+K,5042,0.1,0.9458685806117106,0.39386260986328125,0.09842774271965027,0.1671433299779892
paraboloid,T+F+K,5042,0.2,1.2797067061714504,0.5571823898626833,0.11256178468465805,0.23526518046855927
paraboloid,T+F+K,5042,0.5,1.7608866724474677,1.0318938168612393,0.19338834285736084,0.35749930143356323
paraboloid,T+F+K,5042,1.0,1.9993545177371004,1.328569130819352,,
paraboloid,T+F,6042,0.1,1.0026385721735929,0.2013481643599302,0.10893372446298599,0.07901370525360107
paraboloid,T+F,6042,0.2,1.3805619163074712,0.3603438929507607,0.1476699858903885,0.22400183975696564
paraboloid,T+F,6042,0.5,1.6964928578522245,0.6484230144603832,0.1457635462284088,0.17807559669017792
paraboloid,T+F,6042,1.0,1.5483080350435696,0.9538681172878942,,
paraboloid,T+F+K,6042,0.1,1.0347890903295014,0.3043158367426709,0.03283930569887161,0.06326469779014587
paraboloid,T+F+K,6042,0.2,1.3840599508846507,0.5458063813030417,0.04592004790902138,0.0923382118344307
paraboloid,T+F+K,6042,0.5,1.653261457170759,0.8478195287619427,0.036406926810741425,0.09795564413070679
paraboloid,T+F+K,6042,1.0,1.621159949669471,1.2125225682412424,,
paraboloid,T+F,7042,0.1,0.9949872166977316,0.17535533905029296,0.1328311562538147,0.10922233760356903
paraboloid,T+F,7042,0.2,1.3960052818380377,0.3064406967163086,0.11416876316070557,0.10229786485433578
paraboloid,T+F,7042,0.5,1.7391252909621147,0.49984873896059784,0.09593969583511353,0.04898669943213463
