N,D,K_pairs,surface,condition,seed,ae_loss,recon_per_dim,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
20,11,4,hyperbolic_paraboloid,T+F,6042,0.0,4.93466293185272e-05,0.20556487143039703,0.1325579136610031,0.12079711258411407,0.007103636860847473,0.4131684828434747,0.8388215312807579,1.144423989688649,0.9769879013709761,0.22654859520589396,0.3390519643212945,0.6653791647858437,1.0034754520233753,0.2867763936519623,0.2720000147819519,0.06000000238418579
20,11,4,hyperbolic_paraboloid,no_penalty,7042,0.0,0.00038606212051077324,0.916095495223999,1.1966356039047241,0.6570857763290405,0.10148310661315918,0.9361993058662582,1.4256285503233745,1.488801850212945,0.5281836034524499,0.4327225717947859,0.5084310558825846,0.41249488862396827,0.4976450652719644,0.09502999484539032,0.2880000174045563,0.058000002056360245
20,11,4,hyperbolic_paraboloid,T+F,7042,0.0,0.00040101416578347033,0.09105678647756577,0.13813911378383636,0.27384787797927856,0.02035265788435936,0.9426740066595539,1.6285954849187272,1.7434883117675781,0.8543531853377506,0.491901219981101,0.6424788138509349,0.6241853785947964,0.831116548863009,0.20257464051246643,0.2880000174045563,0.058000002056360245
20,11,4,hyperbolic_paraboloid,no_penalty,8042,0.0,0.00046749476512724704,2.471482038497925,2.9938106536865234,0.4134073257446289,0.16566546261310577,0.9320319720676967,1.3976774730128372,1.4891922562210649,0.68150899126766,0.3832569342467933,0.4356639046242461,0.6210013358250455,0.989838574049735,0.14384089410305023,0.27000001072883606,0.058000002056360245
20,11,4,hyperbolic_paraboloid,T+F,8042,0.0,5.5515022144060246e-05,0.14356835186481476,0.13642099499702454,0.19317786395549774,0.006566742900758982,0.9379351479666573,1.6227575278381094,1.8587679262514467,1.1298492802773796,0.4352926235564821,0.5114195576298147,1.0286483017315258,1.761244833131033,0.25556498765945435,0.27000001072883606,0.058000002056360245
20,11,4,hyperbolic_paraboloid,no_penalty,9042,0.0,0.00018330663442611694,1.1302664279937744,4.924596786499023,0.34008246660232544,0.12131821364164352,0.4852535230997901,0.7395681762695312,0.8704095935145169,0.5583692880192339,0.3169476984469493,0.28547282287616565,0.3439167801282506,0.6407734810911944,0.20933404564857483,0.28200000524520874,0.04400000348687172
20,11,4,hyperbolic_paraboloid,T+F,9042,0.0,5.8334537739442155e-05,0.1881800889968872,0.1682390421628952,0.23712986707687378,0.008014571852982044,0.40308316268584804,0.6957635498046875,0.8078751800753546,0.44607238752495465,0.2776813693337107,0.26291608133143124,0.3809714183296375,0.5436375991100332,0.2422047257423401,0.28200000524520874,0.04400000348687172
20,201,99,paraboloid,no_penalty,42,0.0,0.00034982169890285133,5.5762553215026855,21.482192993164062,0.018877185881137848,0.0007107001729309559,0.7446189829395183,1.1297781808035714,1.2563751220703125,1.1906658468116122,0.44850731860991155,0.5083871492860753,0.7665567308688387,1.0573748735459745,0.36665916442871094,0.2800000011920929,0.04200000315904617
20,201,99,paraboloid,T+F,42,0.0,0.0017167777564395127,1.97011399269104,7.46231746673584,0.007511683739721775,0.00020597483671735972,1.3284044839226057,2.0324674907483553,2.387052045549665,1.5353905133322487,0.7731458793235693,1.0097216819641013,1.38660179942255,2.0236641921158505,0.4089386761188507,0.2800000011920929,0.04200000315904617
20,201,99,paraboloid,no_penalty,1042,0.0,0.0005133956744896239,9.335455894470215,31.23298454284668,0.010457055643200874,0.000957600015681237,1.1998630855025056,1.777888074683434,1.9862148617738045,1.1323705295267539,0.5298109430622948,0.6688405073984169,0.6743427332298326,0.906333153615194,0.2659154236316681,0.2980000078678131,0.06200000271201134
20,201,99,paraboloid,T+F,1042,0.0,0.0003017539445737108,1.475466012954712,2.542098045349121,0.024994155392050743,0.0001495538162998855,0.9350914222360454,1.516549830099907,1.7694857808567535,1.1864291803167974,0.6952303077789853,1.0661507217961799,1.1688833711485769,1.7697044738157863,0.20147830247879028,0.2980000078678131,0.06200000271201134
20,201,99,paraboloid,no_penalty,2042,0.0,0.00025051257651836716,4.922497749328613,13.575977325439453,0.025814879685640335,0.0013943701051175594,0.7243551956979852,1.1533028738839286,1.295820078455416,1.070446291814694,0.44979989743144516,0.48469973363074115,0.7112085138339045,1.0542373414749244,0.1834557205438614,0.26600000262260437,0.04800000041723251
20,201,99,paraboloid,T+F,2042,0.0,0.0002828056539469097,0.9860384464263916,1.6160372495651245,0.037997767329216,0.0001262704172404483,0.5583712259928385,0.9344104585193452,1.0814560051251174,0.9780171736531257,0.35970173462840993,0.4357845739990652,0.8173218629084037,1.0090497305755068,0.2402951568365097,0.26600000262260437,0.04800000041723251
20,201,99,paraboloid,no_penalty,3042,0.0,0.0006004538183188557,6.6313018798828125,13.113975524902344,0.019224392250180244,0.0011284934589639306,0.6383020100731014,0.7900433896192863,0.9219532012939453,0.7973209813862034,0.404743052318713,0.419536521957334,0.43938598293785186,0.7758612031639501,0.278687983751297,0.2720000147819519,0.05000000074505806
20,201,99,paraboloid,T+F,3042,0.0,0.0006111623784202841,0.7000296115875244,0.9106422066688538,0.024960612878203392,9.387729369336739e-05,0.5950173929895372,0.8508819466206565,0.997066946590648,0.7806930952483101,0.40472896707590333,0.42234951958000094,0.651061288782449,1.0855881536596417,0.2927277684211731,0.2720000147819519,0.05000000074505806
