surface,D,N,seed,loss_mode,E_mu,E_Sigma_chart,E_Sigma_diff,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
paraboloid,11,20,5042,ambient,0.16385914385318756,0.32267752289772034,0.10164069045673717,1.3545449057778158,2.281312161266144,2.48765623107437,1.8294266500138123,0.8280174921757,1.1952519301039612,1.6337472677764653,1.902940336725731,0.44215020537376404,0.2580000162124634,0.06599999964237213
paraboloid,11,20,5042,latent,0.16385914385318756,0.32267752289772034,0.0766730471090837,1.362532462654533,2.2922232652502306,2.4689463534096414,1.8009886361226601,0.8446556412638947,1.2195662525559159,1.6398829438825224,1.9018901203150764,0.4322036802768707,0.2580000162124634,0.06599999964237213
paraboloid,11,20,6042,ambient,0.2423660308122635,0.2937122583389282,0.13062706860628995,0.6797852369132021,1.1413547786202018,1.1963058920467602,0.815169865625551,0.31195057879308424,0.38399980567622405,0.4666185718633799,0.7917309074103331,0.3157822787761688,0.2720000147819519,0.06000000238418579
paraboloid,11,20,6042,latent,0.2423660308122635,0.2937122583389282,0.0539019758051092,0.371799149702299,0.7593919048159141,1.2358755223891313,1.2239621165538974,0.22063770692465381,0.32455797276635656,0.6696859482830309,0.9281750769329752,0.40518224239349365,0.2720000147819519,0.06000000238418579
paraboloid,11,20,7042,ambient,0.1897733062505722,0.413204550743103,0.17469662969762628,0.9228995571052451,1.6706212082188645,1.919852574666341,1.1393833662072814,0.6677617415818844,0.9688623341202687,1.1072322081296482,1.0617009024755644,0.381081223487854,0.2880000174045563,0.058000002056360245
paraboloid,11,20,7042,latent,0.1897733062505722,0.413204550743103,0.15762320431795987,0.939537686923527,1.658210726448031,1.9318809509277344,1.1618461161103486,0.6821900201037122,0.9758280107163737,1.0806522878242892,1.050041418480116,0.38683199882507324,0.2880000174045563,0.058000002056360245
paraboloid,11,20,8042,ambient,0.27242615818977356,0.7133978605270386,0.2301938317038796,0.7419704709734235,1.3261518676251296,1.5705438684534143,1.074979675619979,0.5041669281962536,0.6468425545545096,1.257478609028189,1.824580852008018,0.24950145184993744,0.27000001072883606,0.058000002056360245
paraboloid,11,20,8042,latent,0.27242615818977356,0.7133978605270386,0.18237512761896307,0.671814101082938,1.2284405340297588,1.4563985188802084,1.0103199207880174,0.4898125235420811,0.6058931127439712,1.1707163174855353,1.6824436546019046,0.2804526388645172,0.27000001072883606,0.058000002056360245
paraboloid,11,20,9042,ambient,0.2525229752063751,0.4304327368736267,0.08792419867082076,0.4590432927471951,0.8798408813476563,1.3656263419076906,1.466113621966604,0.44191207742517974,0.46612337422777755,0.7030343888682856,0.7124498764915118,0.36227473616600037,0.28200000524520874,0.04400000348687172
paraboloid,11,20,9042,latent,0.2525229752063751,0.4304327368736267,0.07074207067489624,0.4598580583076645,0.9063642578125,1.4077035890403369,1.495798405370035,0.4533378171778338,0.48046162191712827,0.6709464935826218,0.6345845723205056,0.3848249316215515,0.28200000524520874,0.04400000348687172
paraboloid,11,100,42,ambient,0.03366420418024063,0.0993611291050911,0.059277068484913216,0.9402997329134187,1.7236126204182332,1.9669498988560268,1.4496551147556676,0.5393333799592588,0.8033431040521528,1.3062817020019337,1.5331515006438559,0.398792028427124,0.2800000011920929,0.04200000315904617
paraboloid,11,100,42,latent,0.03366420418024063,0.0993611291050911,0.05458294261585583,0.9450203740517121,1.7357271811119597,1.9799070085797992,1.4719238385378413,0.5448578666627981,0.8123124253702139,1.3185929714341798,1.5656750218798003,0.3992024064064026,0.2800000011920929,0.04200000315904617
paraboloid,11,100,1042,ambient,0.04874046891927719,0.038087278604507446,0.10905673287131569,0.8414216923023385,1.5900007623722119,1.765435750052433,1.1015491316828174,0.423435849949446,0.7847366888453211,1.0853032307044699,1.1347556399420287,0.2853436768054962,0.2980000078678131,0.06200000271201134
paraboloid,11,100,1042,latent,0.04874046891927719,0.038087278604507446,0.0556520169431513,0.8454211942337138,1.578153588957946,1.8025578236419884,1.176153019971778,0.4305149552165197,0.7862218462369518,1.147784628355825,1.2556423711116431,0.35489144921302795,0.2980000078678131,0.06200000271201134
paraboloid,11,100,2042,ambient,0.03374582529067993,0.142095685005188,0.08582796833731911,1.4311389588473136,2.5929982018849205,2.5879206836671758,1.9624010007013728,1.0334510580318497,1.4887275613164628,2.209445063036946,2.414163882607064,0.4139276146888733,0.26600000262260437,0.04800000041723251
paraboloid,11,100,2042,latent,0.03374582529067993,0.142095685005188,0.07415282184427435,1.4267448291443943,2.5866142151847717,2.5510347982994594,1.9067123928558125,1.0358661910177585,1.4951489219768537,2.2169318036259513,2.387060819858332,0.4076959788799286,0.26600000262260437,0.04800000041723251
paraboloid,11,100,3042,ambient,0.01905640959739685,0.04621225595474243,0.09070936658165672,0.9805703850384562,1.642504222357451,2.221461127786075,1.7348005583105814,0.6065519944639474,0.8178973570222013,1.4598011920990874,1.9517580507038375,0.39439088106155396,0.2720000147819519,0.05000000074505806
paraboloid,11,100,3042,latent,0.01905640959739685,0.04621225595474243,0.04778549346056851,0.9667133069091256,1.6123118614082905,2.1812640919404873,1.7039189077321235,0.6032227155362101,0.7934402549661709,1.4419475522717171,1.9856058451563416,0.38724273443222046,0.2720000147819519,0.05000000074505806
paraboloid,11,100,4042,ambient,0.02955045737326145,0.11464366316795349,0.06845915859395807,1.0199685582887066,1.6740202470259233,1.8765583444148937,1.2673754599940672,0.5061777758697967,0.8612931089886838,1.0483481597758677,1.2889901867244624,0.4245571196079254,0.28200000524520874,0.06000000238418579
paraboloid,11,100,4042,latent,0.02955045737326145,0.11464366316795349,0.20350139791315253,1.082259900140659,1.8661756804495147,2.058459775667664,1.4529951344896739,0.5524075090762846,0.9254683018872346,0.9299638930984784,1.806240210897105,0.35925889015197754,0.28200000524520874,0.06000000238418579
paraboloid,11,100,5042,ambient,0.037372905761003494,0.1578233242034912,0.07416079261086204,1.013639412345467,1.6684357477730052,1.9367255868837816,1.416675904079054,0.7425950065993535,0.9690007801824626,1.2602520401009982,1.4131358629693924,0.4097445011138916,0.2580000162124634,0.06599999964237213
paraboloid,11,100,5042,latent,0.037372905761003494,0.1578233242034912,0.06891018152236938,1.0120441143329326,1.6417758843115775,1.8835090814634812,1.372491131075178,0.7418530579432393,0.9668273714038697,1.2428695468656414,1.3206788735146442,0.40767917037010193,0.2580000162124634,0.06599999964237213
paraboloid,11,100,6042,ambient,0.0500936321914196,0.2058745175600052,0.07883066480809992,0.925609504598878,1.8157209261195866,2.0470904181985294,1.7555568100911663,0.5716201944155453,0.9305555382117366,1.2534561906447192,2.055304002798893,0.40698277950286865,0.2720000147819519,0.06000000238418579
paraboloid,11,100,6042,latent,0.0500936321914196,0.2058745175600052,0.11923185261813077,0.6392191748261977,1.1719586229699803,1.1531784955193014,0.7517340843039368,0.4297270430782413,0.5706645192712345,0.7144313879932362,0.6353597667628372,0.3209560811519623,0.2720000147819519,0.06000000238418579
paraboloid,11,100,7042,ambient,0.013961982913315296,0.01707601174712181,0.06521382115103981,1.0385024285001376,1.7246616908482142,2.1301216549343533,1.6239625801249489,0.730062149895865,1.0951909837893716,1.3143934455283595,1.5944224055326925,0.3991607427597046,0.2880000174045563,0.058000002056360245
paraboloid,11,100,7042,latent,0.013961982913315296,0.01707601174712181,0.053294951265508476,1.034449169814324,1.7169683547247023,2.1493693457709417,1.6376727678959613,0.7240300763216958,1.081332030785854,1.2977947449375689,1.6182865625715241,0.39953985810279846,0.2880000174045563,0.058000002056360245
paraboloid,11,100,8042,ambient,0.02312423288822174,0.07418311387300491,0.08662689815868031,0.4374042919703892,0.8885532236692817,1.1157368977864583,0.806563353889153,0.3730382439239224,0.4432976318420949,0.8094631099767525,1.5851332678010293,0.3437218964099884,0.27000001072883606,0.058000002056360245
paraboloid,11,100,8042,latent,0.02312423288822174,0.07418311387300491,0.07023376768285577,0.4407802309308733,0.8841276683253372,1.0621819390190972,0.7301766300862091,0.3645895763098381,0.4440156823533083,0.8238883556182997,1.4943781067543547,0.3386273682117462,0.27000001072883606,0.058000002056360245
paraboloid,11,100,9042,ambient,0.025411956012248993,0.0725129097700119,0.07758827642960982,0.5209861452884086,1.085577392578125,1.631846326462766,1.4899763779626807,0.4672460753513595,0.4843982561892811,0.8208739706235312,1.1482817875145446,0.3877600133419037,0.28200000524520874,0.04400000348687172
paraboloid,11,100,9042,latent,0.025411956012248993,0.0725129097700119,0.060094811699607155,0.5218034987932785,1.075821044921875,1.5742848714192708,1.4009348298485351,0.4695393065860124,0.4612285853975926,0.8005209045593106,1.0785401440895814,0.3805246353149414,0.28200000524520874,0.04400000348687172
hyperbolic_paraboloid,11,20,42,ambient,0.10076609253883362,0.11509304493665695,0.07403113083405928,0.9353006273707196,1.7829352357333763,1.987782505580357,1.1679714731402486,0.4716890058763026,0.6167690302988791,0.9020837302006617,1.0556927325828513,0.32146042585372925,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,20,42,latent,0.10076609253883362,0.11509304493665695,0.056154072284698486,0.9330956813752784,1.7658071876468515,1.9437447684151785,1.1175856878160275,0.46652456520257024,0.6101366227206441,0.861639098894101,0.8734287147460353,0.315888911485672,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,11,20,1042,ambient,0.10584919899702072,0.10621186345815659,0.05663457783785733,0.9569170639615813,1.737742597728857,1.9610335586855077,1.245134146146046,0.5231040028032985,0.7652151408247307,0.9959215770234715,1.309088210318868,0.2819816768169403,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,20,1042,latent,0.10584919899702072,0.10621186345815659,0.04304478656161915,0.9489569377261972,1.7059098140900906,1.9059821007235738,1.2088295998331247,0.5190194309341775,0.7503556151749843,0.949998972725236,1.2701807576546664,0.2740158438682556,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,11,20,2042,ambient,0.09423301368951797,0.2586555480957031,0.08610166744752364,0.8811939306426466,1.7255513024708582,1.9700101694666354,1.1802583420810204,0.4617355630795305,0.7850744927668127,1.2909311154884013,1.2272598082491812,0.32413360476493835,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,11,20,2042,latent,0.09423301368951797,0.2586555480957031,0.053119892423803154,0.877713119774534,1.6940594627743675,1.9046970453477443,1.1390620564174714,0.4714066109152642,0.7989167410086662,1.2839263017284603,1.2287277782431931,0.31073203682899475,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,11,20,3042,ambient,0.12465213984251022,0.3201320767402649,0.22209776531566272,0.9592226286420801,1.790082447564424,2.237608516917509,1.3891468253709207,0.41249211253882634,0.514593455914677,0.856003302516538,1.348229165189084,0.28587105870246887,0.2720000147819519,0.05000000074505806
hyperbolic_paraboloid,11,20,3042,latent,0.12465213984251022,0.3201320767402649,0.13583880121057684,0.9368150799871813,1.7886646327687734,2.1006572947782627,1.4047214100728393,0.45337053827324375,0.5763895946348621,1.1084040242744515,1.5732737981650284,0.282988578081131,0.2720000147819519,0.05000000074505806
hyperbolic_paraboloid,11,20,4042,ambient,0.11932238191366196,0.1721017062664032,0.08040738647634332,1.3067952650488068,2.1046124082623106,2.388636812250665,1.6318662800664403,0.5767946893785032,0.9485165176936291,1.273483501306925,2.1427223752800635,0.3013443052768707,0.28200000524520874,0.06000000238418579
hyperbolic_paraboloid,11,20,4042,latent,0.11932238191366196,0.1721017062664032,0.06760756535963579,1.3107118420383677,2.1160844745058003,2.4058387702238475,1.656385316174303,0.5876174349059292,0.9720546773848265,1.2732191762511393,2.1475631562324824,0.2965638339519501,0.28200000524520874,0.06000000238418579
