surface,D,N,seed,condition,E_mu_chart,E_Sigma_chart,fit_err_rel,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
hyperbolic_paraboloid,201,20,42,enc_pull_v2,1.9692717790603638,8.768616676330566,0.6598392724990845,0.9434792703403396,1.8638444484624648,2.2976841517857145,1.9127329659086594,0.5711367701698407,0.733285631667619,1.2541947251505599,2.2807908961693357,0.33173975348472595,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,201,20,42,direct_1st,1.9692717790603638,8.768616676330566,0.9561214447021484,0.9764716949123051,2.457745774347979,4.191534859793527,4.460089823267294,0.632519761205961,0.9286347963847831,2.331695105550803,4.2480221007344525,0.4706415832042694,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,201,20,1042,no_q,1.2104377746582031,5.209547996520996,0.7400006651878357,1.4182790913401309,2.441324567263011,2.8676811064649748,1.8634730255884033,0.7432803420005114,0.9967008357662526,1.4074584819964586,2.0357544859203687,0.32903236150741577,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,201,20,1042,current,1.2104377746582031,5.209547996520996,0.8645078539848328,1.4051799136971046,2.2984948140537873,2.6059639949926594,1.4878950344461153,0.7212597278218599,0.943764155251629,1.2765452170832103,1.7564737342311088,0.30981436371803284,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,201,20,1042,oracle_q,1.2104377746582031,5.209547996520996,0.7438797354698181,1.4125507584127923,2.399969505111524,2.8315847512059564,1.7831306532245532,0.7320288187719525,0.9829279414374353,1.3854318220105581,2.0127681586387247,0.319657564163208,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,201,20,1042,enc_pull,1.2104377746582031,5.209547996520996,0.2829893231391907,1.3437421157259186,1.8318214841934828,1.917698392932047,0.7264129254567618,0.6261017808794167,0.7015429973119639,0.746824029201638,0.768328646306843,0.2075984925031662,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,201,20,1042,enc_pull_v2,1.2104377746582031,5.209547996520996,0.7436296939849854,1.4037551709963112,2.287291799779275,2.5511325093723785,1.376940129729128,0.7200431283178721,0.9410629912949785,1.249443465532355,1.7174936429171324,0.29425498843193054,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,201,20,1042,direct_1st,1.2104377746582031,5.209547996520996,0.7889013290405273,1.4149792507655903,2.379633453255692,2.717246650849413,1.5907327247992493,0.73833759021714,0.9923367964425609,1.3644362506221852,1.9323071974847261,0.3065994083881378,0.2980000078678131,0.06200000271201134
hyperbolic_paraboloid,201,20,2042,no_q,0.8123561143875122,2.4571895599365234,0.8303034901618958,0.5279343588310376,1.0506243024553572,1.432705413129993,1.2008615047670745,0.30603882803300814,0.36683795804735164,0.7534873111050188,1.2086666924383165,0.34253913164138794,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,201,20,2042,current,0.8123561143875122,2.4571895599365234,0.7751017808914185,0.5376832527026796,0.931920914422898,1.159660970358024,0.7899909877045201,0.3154116393731394,0.345153059488547,0.6043982486730722,0.7389468433891058,0.3141912519931793,0.26600000262260437,0.04800000041723251
hyperbolic_paraboloid,201,20,2042,oracle_q,0.8123561143875122,2.4571895599365234,0.7426009178161621,0.5276054248475192,1.00739990718781,1.3532282320180333,1.173224225341952,0.3053174712402867,0.35791882383165563,0.7441014948800962,1.1925806917024862,0.3193768262863159,0.26600000262260437,0.04800000041723251
