surface,condition,seed,ae_loss,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
hyperbolic_paraboloid,T+F,1042,0.017938312143087387,0.05567558854818344,1.7793571949005127,1.0500206108668342,2.1216377515471385,2.4322255070048167,1.4255441471233805,0.18458452820777893,0.6650000214576721
hyperbolic_paraboloid,T+F+K(Phat)2ph,1042,0.017254995182156563,0.030144184827804565,1.670738935470581,1.0564237815051822,2.1341168692942416,2.422698286242951,1.3083219469409155,0.1682899445295334,0.6650000214576721
hyperbolic_paraboloid,T+F+K(Pstar)2ph,1042,0.018063828349113464,0.032849956303834915,1.838017225265503,1.0528443302940484,2.1392844553743857,2.4448696509339753,1.371303019594086,0.18114839494228363,0.6650000214576721
hyperbolic_paraboloid,T+F+K(Pstar)1ph,1042,0.019202945753932,0.03681379184126854,1.8443902730941772,1.0475013004475502,2.1174544430850597,2.4063108057007754,1.3502107378174488,0.17906080186367035,0.6650000214576721
hyperbolic_paraboloid,T+F,2042,0.012344609946012497,0.07420673966407776,4.343634605407715,0.9804353332519531,1.981238810221354,2.5300626577057455,1.2286986750510984,0.15584205090999603,0.8050000071525574
hyperbolic_paraboloid,T+F+K(Phat)2ph,2042,0.012218012474477291,0.03658319637179375,4.193474769592285,0.9941608428955078,1.941532728407118,2.433784816576087,1.1274329294509977,0.13598743081092834,0.8050000071525574
hyperbolic_paraboloid,T+F+K(Pstar)2ph,2042,0.012555107474327087,0.038064826279878616,3.9137446880340576,0.9403684997558593,1.9593443128797743,2.477921195652174,1.2073640189352246,0.13793492317199707,0.8050000071525574
hyperbolic_paraboloid,T+F+K(Pstar)1ph,2042,0.011877425014972687,0.11121459305286407,4.7238335609436035,0.7039434051513672,1.7501797146267362,2.507692893839771,1.2805066135287768,0.1670578420162201,0.8050000071525574
hyperbolic_paraboloid,T+F,3042,0.02225980907678604,0.05828452110290527,2.044257402420044,0.9606046580305003,2.0311122446752794,2.7305795463027467,1.7768473383209242,0.24170859158039093,0.7850000262260437
hyperbolic_paraboloid,T+F+K(Phat)2ph,3042,0.07113004475831985,0.037663497030735016,1.9688959121704102,0.9629612161655619,1.9371225367711242,2.5454292054388934,1.3419675783530465,0.1771596521139145,0.7850000262260437
hyperbolic_paraboloid,T+F+K(Pstar)2ph,3042,0.05273614823818207,0.05403948947787285,1.8693767786026,0.9504618018564551,1.9596269490332576,2.6050467521521696,1.4150944450371583,0.19537353515625,0.7850000262260437
hyperbolic_paraboloid,T+F+K(Pstar)1ph,3042,0.019272396340966225,0.03621246665716171,1.9933815002441406,0.9561238915029199,1.924076016388792,2.5148210464769107,1.3534012132448965,0.1865033060312271,0.7850000262260437
hyperbolic_paraboloid,T+F,4042,0.017260873690247536,0.0830187126994133,1.4071377515792847,1.2111714935302735,2.372171307136999,2.8614008655286813,1.34126558980301,0.16682077944278717,0.7300000190734863
hyperbolic_paraboloid,T+F+K(Phat)2ph,4042,0.014294569380581379,0.024549413472414017,1.4966238737106323,1.2324894714355468,2.364009962556112,2.8137004277477526,1.4311071445505106,0.1855359524488449,0.7300000190734863
hyperbolic_paraboloid,T+F+K(Pstar)2ph,4042,0.013965874910354614,0.027822429314255714,1.5147812366485596,1.229533462524414,2.360558947146927,2.8043566142043024,1.425369918007723,0.1866496205329895,0.7300000190734863
hyperbolic_paraboloid,T+F+K(Pstar)1ph,4042,0.0054376195184886456,0.05748732015490532,1.5933837890625,1.2253411102294922,2.3988829554773825,2.847472935506742,1.330848918754097,0.1708342432975769,0.7300000190734863
hyperbolic_paraboloid,T+F,5042,0.024968037381768227,0.03712724894285202,0.8481281995773315,0.8704430661608825,1.94575684935182,2.6494825314252806,1.5332032088371663,0.20720621943473816,0.7799999713897705
hyperbolic_paraboloid,T+F+K(Phat)2ph,5042,0.025528009980916977,0.027071822434663773,0.6613239049911499,0.8841200785421247,1.9094934149102851,2.525348369891827,1.4071576500849767,0.2068241536617279,0.7799999713897705
hyperbolic_paraboloid,T+F+K(Pstar)2ph,5042,0.027404773980379105,0.02169942297041416,0.7152242064476013,0.8631347962959328,1.9026641845703125,2.535835657364283,1.3425314856930235,0.16475893557071686,0.7799999713897705
